55.92222222222223138  17
62.303802490234375 36.0048980712890625 61.73590087890625   63.718782433487369588 39.197754675456323525 61.629014062372952765   64.461818356883568981 42.599323007764027693 61.656022493765952674   63.859184812072427917 46.008128964960349094 61.85720654976551458   61.970111394277388683 48.916859087240347037 62.123951037206964543   59.525403642172584284 51.403752316892052932 62.339852853056683557   57.397140075354577959 54.122889656215633636 62.806721635564692008   56.027656090555680635 57.125585600016975718 63.918960558054315868   55.405932254002209447 60.104354665881139397 65.619774672387592318   55.390830154130853202 62.895674983314947326 67.715300727447058193   55.907504981657240251 65.420925585732248919 70.068023034021450712   56.965618566978470483 67.577490775431229508 72.598972452062668026   58.538396876636397792 69.262842430810152905 75.217870700029536124   60.579241233235492814 70.372950826030447047 77.819630061845032287   63.02355905271173242 70.801239444039850923 80.268004595809784973   65.774376233894059851 70.427711210342323511 82.371725489082976424   68.650899494158210246 69.374703322662512051 84.047820326290761273   62.303802490234375 36.0048980712890625 61.73590087890625   68.650899494158210246 69.374703322662526261 84.047820326290761273   0.4419130887754208481 0.89618396053222393327 -0.039587003596436763642   0.82559442626978996049 -0.36012045443605772421 0.43440430661887285968   
62.303802490234375 36.0048980712890625 61.73590087890625   63.834366220333720321 39.144581071860095278 61.714893304837744381   64.42557666235828151 42.56117011421460461 61.867830581294576575   63.450338908873348487 45.859111516248063367 62.267225784615263251   61.23930886263039497 48.497848245189572935 62.776690525117089692   58.619694614126736099 50.762147233627992193 63.239965163059721931   56.477995356695991802 53.356186218018372358 64.128674741665363968   55.149939706387058891 56.150642015175328936 65.734924530353779915   54.333931865835808139 58.900827260232112792 67.728528748373108215   53.859283744274073058 61.566060110936987826 69.93535145943062048   53.804669340130232058 64.07856775281400985 72.359480205671403041   54.243827314706017262 66.336951156974521382 74.984234056811402525   55.21380334451659877 68.227075232770260982 77.753162879231126681   56.660932991698828687 69.707759814243772212 80.562683375135918595   58.610889918374908802 70.697660576041471359 83.27983352268869055   61.117341584852724168 71.054207252501896619 85.667892186933713106   64.073277663185308484 70.725069743735957672 87.489200512179920111   62.303802490234375 36.0048980712890625 61.73590087890625   64.073277663185322695 70.725069743735957672 87.4892005121799059   0.4881950867187222487 0.87256736444250992957 -0.017080743940242570228   0.87998173354899900112 -0.1689044688386754367 0.44396331946054123918   
62.303802490234375 36.0048980712890625 61.73590087890625   63.748184031302869812 39.18547716833632677 61.807802124871606964   64.466088390096501826 42.591200773309346062 61.768743427472024621   64.031290458848829417 46.037033746454682159 61.600515083137423744   62.419319167898350997 49.115671292224639899 61.451060373482427224   60.038984763751471974 51.667184047268939651 61.333630738119587988   57.609334173551197011 54.174802101035496094 61.271221224191336319   55.542582600407840232 56.950218240689935101 61.704044314131145654   53.879447667886395834 59.7682422282876189 62.90125486042079217   52.599167132445842299 62.391353518469941264 64.812554483975617359   51.695440986888577584 64.731505961085005652 67.238231152532705437   51.247918409383672156 66.755112693224234022 70.045774778720584663   51.35317034459934149 68.437691649048176146 73.100753807141970242   52.023434814850006092 69.78880095402787731 76.249285873781403211   53.158483229262529335 70.867930709774554998 79.369407628106216634   54.852916921067297551 71.598565910300820292 82.327916284696897264   57.091873804372838208 71.936969796907490604 84.985355183398695544   62.303802490234375 36.0048980712890625 61.73590087890625   57.091873804372838208 71.936969796907490604 84.985355183398695544   0.45138589452618765874 0.89192598139367440524 0.026810780252043264066   0.69311669985759449819 0.053528707931142789633 0.7188351116951205988   
62.303802490234375 36.0048980712890625 61.73590087890625   63.939387728843932734 39.062282741179629397 62.117035596746795534   64.404592732569625468 42.476380279379768012 62.495654967985871053   63.443236467360236475 45.797372335261925969 62.835114633836255393   61.51526015418135529 48.692459263243144107 63.095391107874604586   59.290310285797467316 51.381225572571963767 63.2817683992159985   57.155019158520559586 54.129406658801890728 63.577576933835764805   55.316275077024535278 57.008004910051106151 64.299064979489472194   53.719950601114597077 59.883420979765453751 65.475818220444125473   52.303318015981616895 62.633581743648136353 67.093937511407887087   51.099768343168328499 65.061336334018349703 69.290242727417833635   50.159078401009765003 67.073375543555641798 71.981844357576790117   49.613684560621194919 68.633821713258328145 75.054210789336053722   49.560631817770818941 69.766164166536327684 78.355646332242258723   49.956486833252270685 70.583441891417379566 81.727186612181640157   50.85624892789859075 71.081085885589658346 85.061261969132416993   52.288152704475656662 71.232929376413139266 88.242166311661733857   62.303802490234375 36.0048980712890625 61.73590087890625   52.288152704475656662 71.232929376413153477 88.242166311661748068   0.55934730906404872552 0.82185008523107483391 0.1081342926572469304   0.46902098371394362886 0.0028260142773365005096 0.88318250123024255593   
62.303802490234375 36.0048980712890625 61.73590087890625   63.909098158322059646 39.07989387347347332 62.104800576417090952   64.379693714743183364 42.501396362991620492 62.42367836558297256   63.470230610019719109 45.851807342607727946 62.600184396752375449   61.728156799426116663 48.875810464100467811 62.642882616842854304   59.67377384746307456 51.702652935526636213 62.597365224067367251   57.660135791337133071 54.55822762585649599 62.598241452568117893   55.87651636843661862 57.551727171456079191 62.842451999293125198   54.297237288549482059 60.624767731979815721 63.364244901111661079   52.827168782194142693 63.713416759325021133 64.080020348865105007   51.445080860914082166 66.784728207089884222 65.010443056260257322   50.204345094022905016 69.755459734811864791 66.361478421989758658   49.150579153175080194 72.502470293186917161 68.239663149756694338   48.331752261434438367 74.928082930746398915 70.610656435654661323   47.856185907254854328 76.895530877308658546 73.451510669062855641   47.765875492324518348 78.355145078020811411 76.620741207667379058   47.964049869563069706 79.42685166145932385 79.940115727455193451   62.303802490234375 36.0048980712890625 61.73590087890625   47.9640498695630626 79.426851661459309639 79.94011572745517924   0.55070893538656440214 0.82799362086793226734 0.10557571826612766053   0.084548477075243738676 0.26827916536467133479 0.95962380361029631093   
61.90380096435546875 36.804897308349609375 61.23590087890625   63.767075843688502346 39.410964427650867492 62.582869655849847845   63.978089411951934551 42.442991488745391848 64.204848080833613722   62.518074951075710999 45.20178703059325187 65.724427072770680525   60.346414674477372841 47.606100558599131034 67.02932563279932765   58.105394598216491886 49.960764192627777902 68.311965396377374304   56.109117247692580577 52.369662713340744631 69.86374211387355615   54.408566600240767741 54.746569453372586622 71.777414058231116201   52.849763153161298135 57.068669507348545267 73.873543194056651373   51.317212602866689508 59.370203600873772132 76.011252052303490245   49.857334599374972584 61.576431915513857973 78.293586240979706758   48.584580677052628062 63.418736242708227735 80.969430338617968346   47.546919842853441196 64.734963734059888907 84.030913331902127084   46.742981824524164836 65.594378433831522557 87.318267504359667441   46.254478073918562586 65.951224362012553115 90.753424335764847797   46.263005797700643029 65.631723811936495849 94.224548415367408438   46.731778117051689492 64.744948178838512831 97.569090322753552869   61.90380096435546875 36.804897308349609375 61.23590087890625   46.731778117051696597 64.74494817883849862 97.569090322753567079   0.67995254606468757963 0.65306967236203694593 0.33341346424685802674   0.180589039888071623 -0.30846530894786960975 0.93393616047779193234   
61.90380096435546875 36.804897308349609375 61.23590087890625   63.829426627765528224 39.29411984147675696 62.704160534683509809   64.484448849324621733 42.572570510107482278 63.590883404803534518   64.189641467032572564 46.041835615390624525 63.775416492799486434   63.61251496880552736 49.478013456759136091 63.523384366392221523   62.996385871895625996 52.871958771146672973 62.963559743861431173   62.377240898859888318 56.22973655139879412 62.219992461586087984   61.764060590140836382 59.438769985965464571 61.006842889031467791   61.154311936513785497 62.462004067869528967 59.364293214926021847   60.505580405127886934 65.646617631201038989 58.086798965770334746   59.796453899788161834 68.934090301868693018 57.137347015643705106   59.066304805241522047 72.239139623518852318 56.26591890269202878   58.393667775632955852 75.530234453594573552 55.30142327198515062   57.820342342248970624 78.801546678457000894 54.213359383927375745   57.379224288871043314 82.047895546673984768 52.998453670932562432   57.156802797746884437 85.243342363885830082 51.601813711230903436   57.066783138274509213 88.400084481335753139 50.104349051518916269   61.90380096435546875 36.804897308349609375 61.23590087890625   57.066783138274509213 88.40008448133576735 50.104349051518909164   0.68004877917823691735 0.57271953581111134657 0.45774009136025523015   -0.017852723215799962131 0.90061488030156600093 -0.43425121491272389296   
61.40380096435546875 35.804897308349609375 61.435901641845703125   63.435965693691187539 38.154115166675069304 62.996432604263610244   63.812630270710243963 40.847545622488425465 65.099623076538748023   62.212260331362649879 43.054837068434210323 67.220905694954453224   59.719795526398286256 44.676344234802428446 69.049601632585776656   57.158760497473124929 46.225921832601166273 70.852575909387098818   54.837731785759693537 47.860829126282801838 72.888621846821820327   52.708693907422023983 49.507610797164808503 75.117855976132105411   50.627200948511514866 51.148581250689012734 77.396139573694384239   48.559432037013039007 52.783253240614385504 79.691315601645115407   46.552198181665637833 54.383925190689595297 82.062680647514184784   44.63206301708693502 55.920129542842268222 84.545960995464270127   42.818507740456539068 57.360039852334494981 87.162998703355668795   41.178285142581003697 58.626554916477850554 89.975068485882786717   39.814365657082795735 59.615913171222238987 93.034033048413220968   38.822861656732300162 60.261311769273703476 96.316906977265603018   38.267919540864362205 60.531643553812600089 99.754715314721963182   61.40380096435546875 35.804897308349609375 61.435901641845703125   38.267919540864347994 60.531643553812600089 99.754715314721963182   0.71753416784042378662 0.59145126952138116216 0.36787241506138701475   -0.11120520394617518234 0.037797153939204457263 0.99307843485264846173   
61.90380096435546875 36.804897308349609375 61.435901641845703125   63.372740820769458026 38.990812407489087832 63.705782756977242798   62.986330583325475629 41.339571600204777724 66.176067138004171397   60.893370703758307627 43.196116768103436812 68.230721779809528016   58.309670468582346814 44.751340793523390005 69.996422109833943637   55.797300143488740787 46.333348034545537075 71.838767747741997027   53.506297246477402041 47.973329846745791372 73.905562878289345008   51.330287267835913667 49.622573364127433138 76.08750064649586875   49.14000796416063821 51.274165329371349742 78.2533315863526866   46.948580562944002281 52.924914291140858325 80.418644551843783574   44.791189855548132925 54.559373693984582587 82.629903793492005093   42.685255543109150267 56.15994216757741242 84.914248067820508936   40.641551475751747091 57.708432023157513413 87.289157744835250696   38.657197923763092717 59.198849481607098255 89.749973335229071836   36.768694537152732948 60.586666429010598733 92.341239465265559261   35.104458035212338984 61.735483416808271784 95.188092473367547086   33.707987116655672821 62.609543445188492683 98.269030142494884217   61.90380096435546875 36.804897308349609375 61.435901641845703125   33.707987116655687032 62.609543445188478472 98.269030142494870006   0.57233631655798378191 0.56559782706706862587 0.59374256944053638296   -0.36908461240771639478 0.21963667180025342462 0.90307047415157815085   
61.703800201416015625 36.804897308349609375 61.23590087890625   63.457791922573846932 39.366277882006663447 62.802095683137842741   63.409324365042451177 42.30037831020034389 64.578337571737236544   61.384807878864982911 44.650979149040871619 66.097991474439666604   58.548597450264907138 46.30576990691348982 67.282315864167713926   55.67248861887043887 47.905228388608691148 68.456172495373593279   53.044337864559025775 49.709752435140821092 69.883905781797665213   50.626977211536342338 51.635222792946230186 71.515596367176215153   48.261235125107447175 53.584265330137320404 73.194997653377086522   45.923926302661421062 55.544956683228662087 74.900132864315963843   43.702846326017585454 57.55044694705275532 76.70505096495948294   41.655135633872141909 59.615942274721042793 78.641844562440553545   39.833329005618196561 61.750656036051708497 80.723775522544471528   38.204761269372106369 63.938138656395459236 82.908616809754050792   36.850498173688585268 66.189058540412545995 85.211464778126810415   35.752782449855544655 68.486576498457679918 87.605624800582987177   34.56099956166448095 70.768711216429494471 89.968386871091283297   61.703800201416015625 36.804897308349609375 61.23590087890625   34.560999561664473845 70.768711216429522892 89.968386871091283297   0.64484913517938202698 0.64975604999656033645 0.40247567423543789689   -0.3737566838010382142 0.64709319263494236019 0.66451210775994984381   
