70.900000000000005684  17
61.90380096435546875 36.604900360107421875 60.935901641845703125   65.429485776423661036 39.216157158175377617 60.325987211231243634   69.085194804669711743 41.569973419905991818 59.475721840549411468   72.769192282369942859 43.853499419633067191 58.559714549467962286   76.407588104436825915 46.231450923358970329 57.71246038636745368   80.585839917302564572 46.828282084894325976 56.713445275296898274   84.421487462183705475 44.779060830612039013 56.146204299350806366   87.923436147541423225 42.112091415253779303 55.790192432394881905   91.865550672189684178 41.549679216938606885 54.219564182502232086   93.948419355475706993 44.483226067381792745 51.972305153828848745   92.546182144612060938 48.439531567616199936 51.100942161819602916   88.896957419477558915 50.557268730223135833 52.089330499393298624   84.919736587048817 50.322142222234703013 53.957856476260438683   81.428909717646604349 48.598125320294272456 56.030834631318349182   78.818311532405019193 45.732719018276362988 58.136265279019184504   77.473936229267550857 42.030056553065080038 60.108142649076107489   77.529683583103292221 37.939345969707929385 61.781202336899013972   61.90380096435546875 36.604900360107421875 60.935901641845703125   77.529683583103292221 37.93934596970793649 61.781202336899006866   0.77797826760918942224 0.61950643338072441946 -0.10469763191065351027   0.12546174938947135535 -0.93012319877793625533 0.34515240769149019284   
62.10380172729491477 35.804897308349609375 61.435901641845703125   66.12736321401399664 37.659859141514203884 61.358334621807472331   70.156023445953081819 39.502445560730691909 61.25722009959594061   74.2175163449645936 41.250574820809042365 60.982726389114553456   78.326217840286631144 42.746188632629291249 60.28486123267845187   82.4278384318337487 43.887228363085668548 59.066717537707425834   86.473911449015659514 44.736950697674714661 57.476091806291705666   90.452058044361450584 45.363117070006858 55.629165799095268596   94.361263016585013474 45.808931386427786947 53.59199575411273031   98.200502639717825559 46.096258869550482018 51.398874083015641645   101.96192461328209333 46.227095362673800594 49.060931279825737761   105.63432712372687661 46.197372840055251686 46.582159330918450735   109.2183835485980552 46.023069585217790234 43.982691579120469783   112.72830739877922213 45.736620065083847919 41.293354181777047529   116.18295733993450369 45.370995569395269342 38.542453626983110837   119.65267653732385611 45.026711286971170978 35.808045821194248504   123.19005542718971924 44.780686627026810243 33.150818403217563457   62.10380172729491477 35.804897308349609375 61.435901641845703125   123.19005542718971924 44.780686627026817348 33.150818403217563457   0.90842264405887596102 0.41759993060620381744 -0.019457587691560612742   0.80531160388621436663 -0.044923852029251983009 -0.5911472474477627026   
62.10380172729491477 35.804897308349609375 61.435901641845703125   66.076291842117527153 37.767709211811165915 61.433160860336336384   70.04111216293441089 39.746257887042006018 61.459023052146882549   74.065514886685633655 41.585467554973419624 61.253278975328697697   78.168173966652176432 43.104277360527461838 60.575779307785424521   82.283059590512380055 44.190832749813061753 59.354469103876304814   86.352277800124497276 44.946264628806972041 57.774722896957406704   90.372632256449833221 45.490808702418107146 55.993802213488130803   94.344229278195555821 45.860931810795172225 54.064989271892336831   98.253656690765510007 46.033231704728464706 51.987266260877923685   102.09675418002626657 46.014051981917226897 49.782267103769719085   105.86765599020691297 45.80245130037907586 47.465786219904671839   109.53544214466681694 45.336635363114204722 45.024986607306175301   113.08469156739816697 44.608121366522510698 42.474897718405870251   116.57588378209700863 43.763078533271411175 39.880059519238407972   120.11980344136432564 43.018227211389834963 37.327191198466110222   123.76144157558158554 42.470646812262806691 34.863332777313551958   62.10380172729491477 35.804897308349609375 61.435901641845703125   123.76144157558158554 42.470646812262806691 34.863332777313551958   0.90116763042236092129 0.43308901054173232215 -0.018188205709486860578   0.83127668130008058878 -0.1030430653891469539 -0.5462245012830645452   
62.103801727294921875 35.804897308349609375 61.435901641845703125   65.926723475069962888 38.034261613431958438 61.209722573099675458   69.758184616541100809 40.246581009608014767 60.962375461550379896   73.646561701239903641 42.333263216088759862 60.57092203702765687   77.645285241619305339 44.090100595523018967 59.843236726101487477   81.728379549929542236 45.360629118322478348 58.694690954405189132   85.824449943355503478 46.204986478240911651 57.235669558100902066   89.897652313716108097 46.726687829271675412 55.57289151660850024   93.933603712477321324 46.986592014428197217 53.764101032053311258   97.915894335507516644 46.971442864256417238 51.822734298023071631   101.83214522953774406 46.681517324875883901 49.771453568025677328   105.67888956783768606 46.142414728981790972 47.640218059516811877   109.44216464256224697 45.338182855308836849 45.445315930757502088   113.07171054499720242 44.172835677217385353 43.189058553398012918   116.57119660439973075 42.7138796875367035 40.895838132455985203   120.09588542282294554 41.30432233741287007 38.611819392303367238   123.75550970975004361 40.182864502948838492 36.380376825295776655   62.103801727294921875 35.804897308349609375 61.435901641845703125   123.75550970975004361 40.182864502948845598 36.380376825295776655   0.86216569298008438604 0.50419060121896119853 -0.049620111755548736154   0.83747077563841487713 -0.22570772266104768833 -0.49769340349531981937   
62.003799438476569605 36.304897308349609375 61.23590087890625   65.721331815145063615 38.707684330674467788 61.436793059022647867   69.372902734011091752 41.195371282586975781 61.770445737473423264   73.036905873849534032 43.667430905310709477 62.07951957444267066   76.859175303637385923 45.902923336896982676 62.036485539261619238   80.832082815264016062 47.793041360449976196 61.538300979368706578   84.897261282929463277 49.272449528540349206 60.593912114359177679   88.995436447709181493 50.362417190218572216 59.31287756691200741   93.098154903018624395 51.225236861835647062 57.878605088599130113   97.204797445789679955 51.844777148888816498 56.33732482894538407   101.31005552710125528 52.044465310662879176 54.687291468332752231   105.37936657174523702 51.596413580740652094 53.007134873193798796   109.27280936858853977 50.205409243521586404 51.441237604145172213   112.81975833630957595 47.930598970126048641 50.090512197470722811   116.04771435754639697 45.133183184819408496 48.919191854856769908   119.09824407832255133 42.103822006556413271 47.845687061283399544   122.13406941818148255 39.056766320956675997 46.780241369981254707   62.003799438476569605 36.304897308349609375 61.23590087890625   122.13406941818145413 39.056766320956675997 46.780241369981254707   0.84555636057110505899 0.53297813490704637474 0.03112472985832729494   0.68615995432458598557 -0.68636154523498627 -0.24102353890009270421   
62.003799438476555395 36.304897308349609375 61.23590087890625   65.179703343867245735 39.394483086431208108 61.235089435972120953   68.254385467074797589 42.577228648788420173 61.451674131669385304   71.317333220427173046 45.769985887611682074 61.69313040389630487   74.52133860865171755 48.827024560396509401 61.638167761349635043   77.925177341501253636 51.598038895753838062 61.064234754884481049   81.476448308684481958 53.998676436070894624 59.951151492151225852   85.086779508764863067 56.15934748832726342 58.562145669310169183   88.726604226449978796 58.200498123695680874 57.072153233532183947   92.38318441221871069 60.185279048930027557 55.547068870581703948   96.170382608561098436 61.808298912682666071 53.935842037886793321   100.26247123315395982 61.51836516249839093 52.438512805286421781   103.77743498656724341 58.965069383198297714 51.835657798442987598   106.45588677113926224 55.446165197468992858 51.908918872285632062   108.62279470416658 51.600586117525672591 52.262571876715171015   110.364613356176406 47.562809667710084227 52.797053797989683233   111.85044567323363651 43.436173585552893428 53.427089183272208572   62.003799438476555395 36.304897308349609375 61.23590087890625   111.8504456732336223 43.436173585552893428 53.427089183272208572   0.72569743727303082093 0.68768858833546486764 -0.021157386618659037442   0.31917375785701790347 -0.93608268828162211062 0.14790981372065770127   
60.703800201416015625 34.5048980712890625 61.73590087890625   63.169715325157021368 38.12589750631585872 61.075539372771743274   65.146316749325464457 42.016076737581173006 60.334851161119480878   66.436072298724255347 46.164060357966810955 59.482086827644614857   67.239728974952882368 50.421905758670270359 58.560508145119257506   67.787300383218550337 54.718635014780090842 57.626806435178764332   68.276006090490966471 59.022568294781081022 56.69299016459531515   69.022028974286016023 63.265675331654861679 55.666541455502141389   70.03581933376347024 67.426891027110954724 54.529795144330755363   70.889844669321334436 71.643535053349779673 53.472084313380904064   71.710517986903198562 75.870214644772445922 52.425717960130718609   72.826192276311942919 79.969068733558501094 51.175234521973330004   74.481273560476125795 83.749086758292605737 49.571074963823519965   76.345686157886987644 87.381935879690800562 47.850841126408425907   77.909017295784494195 91.177516217530353515 46.187851625497067687   78.988759719452858121 95.159146441492254098 44.577625136624391189   79.727001685604108161 99.232272363551587091 42.996535803800846054   60.703800201416015625 34.5048980712890625 61.73590087890625   79.727001685604079739 99.232272363551587091 42.996535803800846054   0.58335902972644138043 0.79922274180587804526 -0.14469019115655490371   0.15756296778444001117 0.92108764642868101724 -0.35604979817356130489   
61.703800201416015625 36.604900360107421875 61.13590240478515625   63.914251372218707559 40.375122755861823975 60.417906877720213288   65.524373976293531996 44.421462607940483736 59.630987070871981359   66.429401512401824448 48.673038869503649551 58.790749533798745574   66.933935285690012051 52.996055333761162842 57.961249211757284172   67.326938478472257543 57.334894223440656447 57.151527734937140224   67.674653386563321078 61.680813414731730404 56.359062578733485793   68.078076757757614246 66.013251834954473907 55.523402140199685562   68.668856707913590753 70.288415014387908286 54.521057055458726381   69.379000534401683353 74.509466138830745763 53.375275469192274613   70.142816096284292371 78.695658339433620654 52.139378885316467915   70.970849364804692527 82.820971128332004696 50.750660017817793346   71.853330010757161972 86.878428397474252165 49.20403128492710465   72.774107619893740662 90.877491299741635089 47.532364039552390977   73.711330096310348381 94.849543120652981543 45.806039155861640211   74.62364030610831378 98.859223060599063615 44.155410912089536168   75.51206272709883649 102.90286680719221124 42.575658409601992105   61.703800201416015625 36.604900360107421875 61.13590240478515625   75.512062727098822279 102.90286680719219703 42.575658409602006316   0.54526664411431369217 0.82359001708500023664 -0.15615303575097141953   0.20075679427497317153 0.91216601072553460394 -0.35728123156625574142   
62.303802490234375 35.90489959716796875 61.73590087890625   64.372445965459348827 39.811751996692613886 61.814772715597435138   64.983505346288922055 44.122686288453103032 62.408022422063851309   64.051064523919137628 48.349246053552597857 63.299594016050654943   63.086403569117280199 52.568020878573072707 64.221735161390043345   63.434930688972308133 56.86440849042163137 65.147068384849077916   65.197051581634084982 60.807311736924205547 66.071671891509680563   67.886857659200089188 64.190494564615292461 67.01020838567414728   71.288952826424349496 66.826775556350753504 68.005856399220164121   75.326564461091379599 68.217335573633761214 69.093858993523767253   79.60318338362678503 68.112995844660176203 70.171888934841874175   83.715603070928580109 66.768490475708148324 71.065548662662266111   87.38880420891402423 64.373543291045805859 71.603951436175179879   90.427010816785582392 61.16282223258180295 71.688580874563641032   92.825145840806783326 57.456552401743813618 71.369749246448421331   94.741481547043662204 53.50695616817525746 70.778823657030713434   96.405172234143833521 49.464314736391216343 70.05556735548636027   62.303802490234375 35.90489959716796875 61.73590087890625   96.405172234143833521 49.464314736391202132 70.05556735548636027   0.55627337336574156357 0.83056114913589851323 -0.026983543695274427032   0.36077796110946541708 -0.91690862320475752245 -0.17063950149497975062   
62.303802490234375 35.904899597167975855 61.73590087890625   64.096618444289020999 39.867611730279257642 62.527413959526249698   64.073519112648881446 44.148949921714240929 63.445358294938799304   62.548294251843486791 48.24423687676685546 64.127152297980146045   62.280529219284332498 52.296295050751673728 65.760070444419724822   62.943130163345294648 55.675907203481457941 68.522810407944334088   64.727865005599042547 59.445668675262737679 69.908242676178915076   67.409955412571562761 62.924195969675288609 70.486402273516503669   70.328398492150867582 66.217912336739345847 70.951736741612066339   73.672309352478094979 69.109709102442707263 71.231194502219437936   77.180189050832893827 71.809181646082436146 71.431128482372244548   80.919290081124287894 74.179506197004585033 71.43846176672035142   85.018658886842942479 75.677018607522256843 70.906299260372634308   89.070275506624909667 74.876208590699690149 69.446231633989313536   92.454235180050233112 72.571430395861952434 67.779649195297295705   95.48046489294634398 69.783433733760048767 66.135472300669803758   98.567748612884315662 67.068110397106892151 64.484188648263057075   62.303802490234375 35.904899597167975855 61.73590087890625   98.567748612884315662 67.068110397106892151 64.484188648263057075   0.50674499605299794247 0.84784413347906761871 0.15610840560448799308   0.71433949635906768272 -0.59113429089482494305 -0.37453882852081987753   
62.303802490234375 35.904899597167975855 61.73590087890625   64.080638829827321956 39.953717223827339922 61.836593447971800686   64.413272987318293872 44.3375016334864398 61.997338678550804048   63.187855548692866137 48.575283203682595001 62.188751667065382378   61.316842359686823727 52.587165081226544316 62.370542584895815708   59.757104323123961365 56.723961853873618111 62.592533423696089301   58.989684239133900689 61.069495684518273038 62.914518961947280218   58.973788107841336625 65.480023765677046299 63.304122737300417612   59.491862372465071473 69.861745534042398731 63.692051755219857512   60.374699147633805296 74.193082681632319009 63.989195241557446536   61.466273687245376323 78.48482425032719334 64.132359002811369919   62.709386206130496078 82.736176457844464949 64.041673330716420764   64.091283314906632995 86.928522769949353233 63.660789699621950888   65.440952288639493872 91.131169482796096304 63.306436675312376394   66.39355675734674378 95.452267565335745303 63.499130397141428261   67.335549708967477045 99.7734160110798598 63.697234730846531647   68.6216372910445358 104.00229576254481856 63.406649968370331294   62.303802490234375 35.904899597167975855 61.73590087890625   68.621637291044521589 104.00229576254483277 63.406649968370331294   0.49547939111453020988 0.86844908795703323889 0.017214953016800694369   0.3145581528840796226 0.94370452753797817724 -0.10234712090956731012   
