101.90000000000000568  17
58.153301239013671875 33.336101531982421875 60.869197845458984375   62.668642349575307549 32.587600154412022846 65.281083633193048854   68.041500879607013985 30.844769893874087074 68.146840433122648051   73.754092226675794564 28.414425156678881024 69.531265061840031194   79.477478078942098705 25.680310946340881628 70.019793341028346845   85.047450556525006959 22.704456248173642052 69.298745408969352866   90.237921339316869762 19.769268151694962654 67.115531392129469168   94.736929538955706676 17.345335246572656018 63.353821625566233422   98.234197866336543825 15.916224309906512602 58.25826499644949763   100.71508612858021081 15.745490565945999606 52.413745584828362212   102.38092150098006528 16.754831294226420368 46.359684980860535575   103.92751006572781591 18.002761864293091776 40.310363212681728839   106.08905692476338345 19.097292393856761805 34.424464286046251971   109.02474892655017413 20.328479067624723342 28.917794892254629957   112.86760790725517722 22.094449181273411398 24.172986468231428603   117.34347843018423418 24.479323786010375841 20.335750863902273267   122.15720030451019795 27.31368675500916865 17.283839787389375431   58.153301239013671875 33.336101531982421875 60.869197845458984375   122.15720030451021216 27.31368675500918286 17.283839787389347009   0.66792598914897838291 -0.079978166276607684515 0.73991781025894387547   0.76894285865334077723 0.46563245556469623487 -0.43807909839527808815   
58.153301239013671875 33.2360992431640625 60.66919708251953125   62.144252276917129052 32.452325013011531496 65.54561635796470398   66.944803067341027258 30.335276528163372944 69.106903795232625498   72.038665721401457631 27.327835469427874671 71.446061144068565341   77.17674219837988403 23.935216338512372403 73.059077410757367943   82.359803254379585269 20.295389926186526708 73.535118453921384685   87.524126800239940849 16.903634238253289368 72.121001221561996886   92.321020412578690184 14.476269331735380774 68.770198211479907968   96.106506989225366056 13.538117497451443327 63.792523996589814317   98.400814778554661189 14.198009076295642572 57.915866146951962889   99.671739739649481749 15.921395003594639661 51.925135451243555451   100.54731418200083226 18.007806050846443924 45.972017257739658191   101.73898619450390868 20.026937333512805139 40.052715392510215509   103.69328037758903349 22.075595618567188438 34.356371181277310711   106.73730929964777658 24.406734219570726196 29.290951585127533718   110.86328848175885753 27.122916230264301873 25.289038161788848669   115.43064549178295408 29.996490666805623704 21.908186320851303464   58.153301239013671875 33.2360992431640625 60.66919708251953125   115.43064549178296829 29.996490666805598835 21.908186320851317674   0.56498837077148278407 -0.04514137320161668715 0.82386309379560029864   0.73021349555117887054 0.45561399662305784863 -0.50912094535197915945   
58.153301239013671875 33.2360992431640625 60.66919708251953125   62.059735152370592459 32.223070561742026996 65.577755216752365186   66.90190097534919289 30.112718243825057129 69.082379359119016726   72.187632084252200571 27.324836051051576646 71.262845801661484302   77.601005529670644023 24.252864813029383129 72.582389350705625475   83.054925149427631936 20.998721570934499425 72.59798131356940587   88.360724545476799108 17.960400985827408959 70.896198816489231831   93.182587392265588733 15.765009043932867172 67.425442934087286062   96.925674166684984812 15.144379770281044983 62.366970896152444936   99.27865452919776601 16.292187809195677772 56.589957409829935386   100.67052702685037957 18.730108552665793553 50.886294703092389113   101.59242827838970413 21.762408840625688811 45.362526466696245109   102.78273564797925133 24.705061868403305425 39.843456113127281526   104.77178401732105328 27.563762610073524684 34.522819330727109843   108.08326073038961113 30.533134923336756827 29.994034736021720988   112.42497678830847008 33.62453998333693761 26.52048961039292152   117.06862962370709624 36.737494797355829235 23.470167187279162846   58.153301239013671875 33.2360992431640625 60.66919708251953125   117.06862962370708203 36.737494797355815024 23.470167187279162846   0.56200976054870133147 -0.10616522842683819017 0.82028895721024353005   0.7338554948889963736 0.48896195853494733852 -0.4715636921211120991   
58.253299713134765625 32.63610076904296875 60.869197845458984375   62.156668058349517025 33.872248862364223498 65.733855863868399183   67.053387599493234461 34.674677316913765424 69.707891142005962593   72.572391090433185923 35.252611795190929911 72.822546939051221671   78.431990325631545602 35.582693936907467958 75.287230568124371644   84.394103234329023167 35.802126316882038282 77.505533069603970375   90.02946340294347749 37.781781418848467524 79.558629186984660464   94.419650611555823616 42.221150671181369773 80.473586541213720125   96.874607954046553004 48.063073319278927897 80.396501653861591308   97.59119513265112289 54.362190556649203188 79.989039496616427982   97.031925293395488552 60.69138335355565772 79.687470389964730089   95.554194063597577724 66.881021423764153155 79.721494539845963345   93.401633532167835483 72.845905673651984102 80.266491477842990321   91.011822120631123312 78.68573513160296784 81.129482104628806383   88.630592270699779078 84.485537192059098288 82.235682197908474222   86.808450202927517125 90.075697014980931954 84.597001994648707068   86.323596964158156197 95.028225143676593234 88.539315319912347491   58.253299713134765625 32.63610076904296875 60.869197845458984375   86.323596964158170408 95.028225143676593234 88.53931531991233328   0.54236272373827976168 0.22058433424292081537 0.81066961666624826055   0.0060500614519891533771 0.72652318640989299592 0.68711531518751878256   
58.153301239013671875 33.2360992431640625 60.669197082519538355   61.506075685841928191 31.628959076857061206 65.821353399306843812   65.613430254776332617 28.858706674893145561 69.788162837683401563   70.076300730354603274 25.296984904090962232 72.591802655244421771   74.689995666537242869 21.354833354124973965 74.505880626489812357   79.509313961136399485 17.378522817223998942 75.733009383369207512   84.684795412967403649 13.772306454529690711 76.488228868561407126   90.78426276731948974 12.188513167431176853 76.283850141883021934   96.916383793709229622 13.494015952863517072 75.485380999082991593   102.10033263192120501 16.996112958617128896 74.475436305815335913   105.91797593849349823 21.958861938399120817 73.43382391733825898   108.40302348924980436 27.728294633339846342 72.458333762869230554   109.8346094144744427 33.873493404551268782 71.633581439948855518   110.62095388597133194 40.157457161563613113 70.976433835806716388   111.03393921412489931 46.48860795039016125 70.426167730401985523   111.63494538254819588 52.80091798377002732 69.86088059831457997   113.02449424798389543 58.981330048357520468 69.242061616093778298   58.153301239013671875 33.2360992431640625 60.669197082519538355   113.02449424798390964 58.981330048357520468 69.24206161609380672   0.47260985835077323758 -0.18216538639666574051 0.86223876843286029192   0.27188031283715535791 0.95720448085844311858 -0.099200188084946933076   
58.15330123901367898 33.336101531982421875 60.86919784545899148   60.19003511938426243 31.793044355038485804 66.702854981369753773   62.278746890103242606 30.111070159571447391 72.478094916694104199   64.606040939073594132 27.858711996202249139 77.955817905892757835   67.243152124726591978 24.772492696435431725 82.854302455927637538   70.00160566817365293 21.763726908293868689 87.725655403929621912   73.097081400363009607 20.907204370541606409 93.165855927756766164   76.060077763814888385 22.656175834897201327 98.475776055097185235   77.89186382327171998 26.646289281546430061 103.0168344847092925   77.782804859437391087 32.005249000094593725 106.38631513994003797   76.089533493278267429 37.620887448394299213 108.83632655757728003   73.478594174275457362 43.087552083768834166 110.78677843021786487   70.337455908629138435 48.369931335138979023 112.45133181215699381   66.90875330158726797 53.522250254395089542 113.95294914851406531   63.536578158010584616 58.699132094638358126 115.49221173552783171   60.942101153018910509 64.148004004635197361 117.49103662522789193   60.141664952162621205 66.549273540475567756 118.51114274964186279   58.15330123901367898 33.336101531982421875 60.86919784545899148   60.141664952162621205 66.549273540475567756 118.51114274964186279   0.32098598604886091623 -0.24562500199957423841 0.91467827958957770296   -0.26439245736021171895 0.88316228720707101729 0.38745451726132157377   
58.153301239013671875 33.2360992431640625 60.66919708251953125   57.597020346059814244 38.345472011512121924 64.427038309546091455   56.538737786967487864 43.352617695962621269 68.216395424858006891   55.358653819774772842 48.329961416438294464 72.010267126319192243   54.349657255915971632 53.349660785730499413 75.797431573920974301   53.441112119965332283 58.392421977663701682 79.579760269775533743   52.471099685313653538 63.422686127719671845 83.363279007754826466   51.404105282873331362 68.432934724621901523 87.14742481592800516   50.289467101790755521 73.432999435565164958 90.931309982775786693   49.231757067481964896 78.445510854729761263 94.714957347581133718   48.186559930218571424 83.46120349493966728 98.497943473620594546   47.074018066738780419 88.464465207505242006 102.27822501752443429   45.954004739439092475 93.466357894093292202 106.05810521179650152   44.769694011416866886 98.454808717617098068 109.83577925351163174   43.536331195534152982 103.43584976236969908 113.60751187627438696   42.533922887820018843 108.48992152270200506 117.35003421281739122   41.833729759034859796 113.63846663163683104 121.03159713610962456   58.153301239013671875 33.2360992431640625 60.66919708251953125   41.833729759034859796 113.63846663163685946 121.03159713610962456   -0.048793482225486371762 0.80850608522519007426 0.58646151301355575747   -0.086485841084588219174 0.81524215341998662598 0.57262590805781266035   
58.153301239013671875 33.13610076904296875 60.769199371337890625   58.248599759251142416 37.879337068359482998 65.01699957627521087   57.993068211685766755 42.678944760527116387 69.194655728089273339   57.670908365549827579 47.487241626633725389 73.35828481173172122   57.509512358804592225 52.264290573218374902 77.56693121078905051   57.315095405012399965 57.074420726814430793 81.735450649156391023   56.792598850772449737 62.135861352817215675 85.560191131143241705   55.976304663825075636 67.486347441196940622 88.914307291176427839   55.046787376265022829 72.974382101732601313 92.008487044043619107   54.059723501172868509 78.560595557332987937 94.902039587149786826   52.991187603730779188 84.335923140932024467 97.359120608430373522   51.864741176227987296 90.255436934802204973 99.418527999823936625   50.722844529543195335 96.212245288803345034 101.36050716571067198   49.583783542038602832 102.0392428198506849 103.65926312589951408   48.459636111816877246 107.64927810800494967 106.45237398035727949   47.396766492476075427 112.9713004894735775 109.77992899559724549   46.404775619905379358 118.04203348486672098 113.50250132909216916   58.153301239013671875 33.13610076904296875 60.769199371337890625   46.404775619905379358 118.04203348486670677 113.50250132909216916   0.03794675476605827158 0.74045394360809935197 0.6710350223333640951   -0.15260763567520649331 0.78566838402585104095 0.59952989906745379756   
58.153301239013671875 33.2360992431640625 60.66919708251953125   60.801930451819309553 33.754684437364801397 66.428345588408788558   64.514853389399576145 33.962379534974509454 71.587448917595963849   68.98766392352723642 34.012520918418985616 76.113402387646800662   73.950041965307633518 33.893396560151046515 80.100535094588877882   78.932772296997171679 33.90156653931841646 84.059490858957133241   83.44446594735379108 35.434079590409652383 88.229804603190189027   86.974177657809534026 39.185380569615766433 91.901876132368386152   88.695006131856757747 44.648169146831051535 94.562307487675113293   88.210896022795168392 50.758513432469406723 96.184297159315448766   86.362779483483848253 56.751478458806602134 97.257750845076316182   83.865031166249082162 62.533617722852930854 98.190255738847056932   80.613532468657965069 67.871939858602402751 99.336136118207633672   76.595407775135839756 72.533664980774688047 100.96674505447094816   72.494716564208943055 77.087935654941176722 102.69928279726153164   68.380841605194106592 81.282019651498870871 105.11633772079260041   64.572330496718976178 84.663562830474816678 108.91951480023732302   58.153301239013671875 33.2360992431640625 60.66919708251953125   64.572330496718976178 84.663562830474816678 108.91951480023732302   0.34296790138541449755 0.10176163951477404379 0.93381881933410926244   -0.56753188170852486572 0.48007755000493840258 0.66890440963237551841   
58.45330047607421875 32.63610076904296875 60.66919708251953125   60.748739407148555358 33.679577973813664471 66.493806026966140621   64.587440096738802708 33.952253391515000658 71.547242459430691497   69.202003174863534696 33.797749708513109113 75.928953050248225054   74.152142045362950284 33.383964451742563995 79.912306482568183696   79.138866900664524451 33.02621225503471436 83.851955669114488501   83.766029395955285963 34.069156765224178685 88.054569953613565758   87.471622577511652707 37.388644145235289784 91.950205385040263195   89.255376918457429269 42.724986622486056831 94.790152464320385661   88.731868087956584645 48.842183608012575746 96.35632046859173272   86.859413120034290046 54.862801201431821596 97.215802463817993839   84.428823731165579147 60.708430190720306996 97.891389573895040144   80.994928723472398246 65.966376170078618202 98.749140295113889465   76.522580449461372609 70.272803707545705265 100.16009577930641683   71.934232567399135405 74.39338442962316833 101.74845460888572291   67.279369095862634254 78.064564993035389762 104.04041645964855434   62.741170935434233513 81.061863700400152766 107.34472284231223682   58.45330047607421875 32.63610076904296875 60.66919708251953125   62.741170935434247724 81.061863700400152766 107.34472284231223682   0.24375601782769801273 0.21374604351367634814 0.94598923495726561228   -0.70078370899332653732 0.43773182969159396549 0.56328770489369495156   
58.153301239013671875 33.2360992431640625 60.66919708251953125   60.780189605716515189 33.436301107023346901 66.455551191773452047   64.551891935468972861 33.233752223973766604 71.570469805208162484   69.047972626170732724 32.841090129112238571 76.058260185648634888   74.00441284751815374 32.322833274977533335 80.020972226496624558   79.008280191906678169 31.863767184849073999 83.930066757644979702   83.608953407207152964 32.680545046180228042 88.208289776416009431   87.271117116348847276 35.776216939033893993 92.327373021962742428   89.064410854871411516 40.866824411174263787 95.58473280776635761   88.45198323526403783 46.822429263010278078 97.647442452394756174   86.355230339426142905 52.686512949788351534 98.944166523594034857   83.646014506945647327 58.355450851516607713 99.977188275260758132   80.339164437363095317 63.673742879455573984 101.05548467409583679   75.826687038999935453 67.817532221934300196 102.74114122026360008   71.133583992113571526 71.710629814148418859 104.57892118519102098   66.385951393892042915 75.200489585930029079 106.96684219332918531   61.714727390073704782 78.021544096391636458 110.24356566062765239   58.153301239013671875 33.2360992431640625 60.66919708251953125   61.714727390073704782 78.021544096391636458 110.24356566062765239   0.33074429546239114686 0.0588463546500209711 0.94188391936771631574   -0.72582203553407187435 0.41553216643593254842 0.54819284142556701234   
58.153301239013671875 33.2360992431640625 60.669197082519524145   60.715451103726508109 33.326457310361028874 66.488375391475045717   64.367194530930248675 32.924017503562083675 71.67750603520600805   68.802562813130293762 32.184006978730700155 76.179870150725506051   73.676294945171918016 31.186211492586430438 80.153785450079396924   78.57112063530068724 30.284723780441645147 84.121229251148577077   83.117006170963321665 30.770988353770253099 88.509574945861743345   86.828816875324164926 33.547088666980194205 92.805843849707358117   88.762520784011940123 38.395528765589361342 96.354196401930622073   88.322016542487730817 44.142815890809330881 98.971455984454593136   86.195394754702405749 49.802733665499928861 100.94121680846798483   83.261966500618484588 55.180648961021724119 102.67240253578076192   79.640402010565750857 60.132953608380532273 104.35510322062850719   75.359723878129045715 64.477950975900640174 106.18009869480248142   70.97754605321384247 68.68621325824877033 108.08684829816535   66.39896547370284452 72.42609173946333101 110.44699086780396158   61.802236562403997766 76.116356751215320742 112.85523146034608999   58.153301239013671875 33.2360992431640625 60.669197082519524145   61.802236562403997766 76.116356751215320742 112.85523146034608999   0.32690188113842560957 0.046664644546197883712 0.9439054884137159096   -0.71438613932685801622 0.60380476565939344979 0.35365555121427388885   
