99.900000000000005684  17
58.353302001953125 33.036098480224609375 60.16919708251953125   58.331088175543371221 34.792694526957028245 66.160424397448366562   58.020013944338082013 36.515219378805113593 72.15301032850479146   57.449172259514654115 38.197773659198418272 78.138451781064759416   56.917514200313277684 39.903224680915087674 84.120725587651321575   56.895580772889445598 41.863669249580723886 90.041906134504827719   58.142830145064237968 44.571966478883929597 95.489492375950788983   61.35611901520602629 48.336734685246383947 99.162266066697583256   65.901329245221788256 52.473893010384770719 99.760707789995791472   70.584668951337036447 56.075822191598653887 97.831434201093742331   75.039089551960699964 58.749942932952073704 94.402806327710507617   78.951676700342304116 59.978604837327218036 89.743343361010204262   81.742484289215610715 59.162007447894154666 84.262968767376094092   83.427318673423471296 56.896480177080732688 78.70410214500864754   84.756805146555336705 54.251844681922555935 73.206658746733111798   86.312452392876977569 51.836672597832958331 67.665579340258560137   88.285849918476500875 49.869493924407457541 62.080286039671236153   58.353302001953125 33.036098480224609375 60.16919708251953125   88.285849918476500875 49.86949392440744333 62.080286039671236153   0.0095489758361848482704 0.28275119643361557031 0.95914575429172355125   0.34218838915236116094 -0.28556442356487171663 -0.89518716831921529842   
58.253299713134765625 32.7360992431640625 60.66919708251953125   58.176831539810507365 34.660305883796262094 66.605351984522044972   57.477460469665743403 36.253504654916177685 72.59939229311953568   56.458032031243511994 37.665191536688979568 78.595185219149556133   55.42599306197806186 39.073340595276008003 84.589648994938428928   54.801617937752673981 40.777963188444900311 90.557368736218734284   55.474639533677418513 43.361989002096223089 96.159341240885893853   58.295978726238828926 47.068400243046944809 100.20237863304301129   62.820124805169896831 51.091219383810567933 101.41263714215880043   67.777948040855349632 54.56238985041405698 100.02050442920084095   72.499016549857358882 57.117532969495265149 96.879029118057061964   76.516551476828695399 58.344843645053742875 92.307638410514343263   79.350872909293343582 57.975144471803410795 86.788025790553106731   81.123277660133865652 56.432920836593901015 81.012123014401964838   82.508857545350522855 54.518275062325180613 75.233079014913556648   84.209984524789433635 52.879616489448380889 69.457302700450071598   86.422023786641929632 51.705471280928271938 63.739863645730004293   58.253299713134765625 32.7360992431640625 60.66919708251953125   86.422023786641929632 51.705471280928279043 63.739863645730004293   0.030808457224078943798 0.33000752185959542073 0.94347542335747203168   0.38019891025972446519 -0.16346849776001301513 -0.91034435181276474047   
58.153301239013671875 33.13610076904296875 60.369197845458984375   57.859030486590398823 34.225275875085266364 66.505228936882261337   56.650155324908020305 35.140724701785785555 72.557501434357774883   54.880365401990964358 35.929154531021069374 78.492019995730359483   52.95655741420780771 36.674237358578892554 84.385064845453797489   51.321608871516303907 37.604004910891077884 90.334835313370376753   50.759387810441232602 39.334780642213381441 96.276586811595862514   52.339476879172870838 42.561054621583309654 101.28441369374297665   56.071631973819791028 46.796222415553785368 103.76743609749438235   60.686321064088424748 50.93809836482880371 103.54829196361572485   65.323449681994034677 54.400367269170779139 101.27798934476665238   69.490225078924922286 56.767002178059215112 97.325677803370695074   72.767172525342459721 57.5415541561767796 92.107886745441845733   74.950209769789751135 56.705979157392867762 86.338784810976051176   76.490661253351547089 55.062690021257864714 80.516538318385514117   78.085349410684514737 53.47915964690025703 74.692586846857608407   79.97366755857333942 52.235717900577895989 68.873595256385641505   58.153301239013671875 33.13610076904296875 60.369197845458984375   79.97366755857333942 52.235717900577888884 68.873595256385627295   0.012083675078797706526 0.18464538631256222079 0.98273092253682281516   0.31942094255440944828 -0.17893614649957537144 -0.93056548234583447154   
57.95330047607421875 33.036098480224609375 60.66919708251953125   57.746805709021522546 34.318153833700293376 66.767467940427295048   56.448815373117909644 35.235633062807110605 72.799569210322502499   54.583408677293213884 35.937876802993031333 78.715607008694718161   52.580756553209667459 36.582220698660826486 84.594209431997484216   50.956418377273884346 37.468157346461474333 90.551137767722067906   50.622760260618235861 39.193413529176524435 96.50865620849273796   52.579551613129183352 42.191752427071058662 101.52615408369338468   56.780148315863151254 45.956875015090282943 104.0233139652852401   61.789809574047417584 49.605963018714348323 103.79159177762386435   66.727165895842588839 52.621832211310618277 101.50919292061880128   71.190230346963701891 54.42728076435492568 97.59512127844323004   74.548936253001798491 54.314260782382170589 92.386204877209436859   76.636118747167444099 52.575535438839565927 86.78210094694026111   78.122136158654654992 50.217914108587606847 81.195278505381253353   79.725629099533563249 47.971788585619513867 75.595849327786979188   81.621091258060403106 46.012610969439847963 69.979480902516073115   57.95330047607421875 33.036098480224609375 60.66919708251953125   81.621091258060388896 46.012610969439840858 69.979480902516058904   0.047571849365910509611 0.2299772989247028665 0.97203259262599062129   0.3206480650619638606 -0.29642352624509382686 -0.89962098211438068507   
58.153301239013671875 33.13610076904296875 60.36919784545899148   58.038298452201821931 33.958189717093461013 66.554878844706223617   57.029707127397884392 35.079429261030703913 72.607127264528827482   55.45493812009122081 36.367701575627755517 78.509423285281783933   53.852876053135297241 37.673958911939394056 84.400850262818295278   52.753028219718672176 39.047882499465941919 90.384592055983802084   53.125353998386749765 40.746826269356688499 96.35192203069978234   55.900994746418675163 42.91502676647504444 101.41958423484661012   61.037804733765561593 45.170533940997245281 103.9653805498963095   66.995769732634940397 46.874310273304004681 103.71962414819768128   72.678759401586304989 47.747048514497706151 101.36798375037555786   77.400018415410571038 47.568686204944093276 97.338778010539897423   80.707676424467095444 46.304049750266088381 92.225658024116640377   82.796129871176077586 44.29978959370048841 86.701303078439138972   84.417527771302715678 42.055639197972894294 81.10503864736892865   86.233680020692446533 39.907102122226177698 75.532629689275438523   88.483861781662753287 37.983451597787244225 70.036663772955250806   58.153301239013671875 33.13610076904296875 60.36919784545899148   88.483861781662753287 37.98345159778725133 70.036663772955250806   0.010286263510803396459 0.12171253375172171041 0.99251209156902597819   0.38603053721408897569 -0.29410253843181455302 -0.87434782622601903146   
57.95330047607421875 33.036098480224609375 60.66919708251953125   57.788878666472818679 34.49655738119383841 66.726254951469968546   56.433619717394797988 35.739922527159521337 72.687517229997652635   54.56940967175493995 36.863584293141414605 78.539012201820753489   52.625016148077378375 37.966297272978664523 84.368731465676845005   51.174336122618882428 39.257661755360238942 90.295129377567477036   51.276182243710501041 41.053650352376493515 96.238243961745951083   53.939462489156838387 43.288336776739825495 101.3370053602231593   59.060445229036226067 45.262597258639381437 104.15101696184963487   65.161243871495287294 46.328259516892295267 104.314746741946621   71.011070775638046371 46.310907303998853024 102.24599653033155278   75.797585519612795224 45.213925808447953614 98.441933150272774355   79.152799869126752697 43.217550712174336525 93.597724774868865438   81.242094528356844307 40.641576395800939281 88.316219291788939927   82.848589249245691235 37.885484145488540264 82.949032201356374117   84.600310142595958496 35.179351112532984303 77.60236703311061035   86.551345800207243997 32.544511964335100629 72.288951907960907306   57.95330047607421875 33.036098480224609375 60.66919708251953125   86.551345800207243997 32.544511964335100629 72.288951907960921517   0.068263693837896682881 0.24825972936130905055 0.96628524509124924524   0.32744109708390645164 -0.41645075768088052337 -0.84814567992032385835   
57.95330047607421875 33.13610076904296875 60.569198608398430395   57.388211434039703818 34.76888243271075396 66.5528580696213794   55.377870030729646089 36.243858730572199534 72.268041280061140696   52.711220011580444123 37.604636943903777535 77.745985252328750903   49.903214247792050173 38.933989162755203495 83.161809147015119947   47.516378929694212729 40.377946229580842896 88.741509015334344213   46.587611884667737172 42.085317838803995016 94.639307113387673098   48.420518619958613726 43.841002253248824161 100.26323902919934028   53.076171631698528586 44.921316994817324542 104.15705238159985413   59.09969084245852855 44.819364392269598341 105.58543948549531422   65.093453715125733083 43.537852333057678322 104.65652125757728186   70.064307167451289615 41.294361082051615597 101.69686144857249133   73.420864750685780109 38.431850294676905833 97.318408826457996952   75.282371048586981033 35.358554191389359289 92.224267588201968238   76.58575315672231909 32.275750107580769566 86.95349273922280986   78.146496012270262099 29.199555668369903572 81.750925927126488091   80.149076842882550409 26.150769150919501271 76.684632248679307054   57.95330047607421875 33.13610076904296875 60.569198608398430395   80.149076842882536198 26.15076915091948706 76.684632248679307054   0.023107070760558019729 0.26909593362409306438 0.96283614482831114678   0.34514999390853096095 -0.48607856482502770357 -0.80286929853032906745   
57.95330047607421875 33.13610076904296875 60.5691986083984375   57.140786768525366313 34.693748965144102669 66.548040843540420042   54.693082787643433562 36.177945136788657976 72.081168407719630409   51.416864081587881685 37.5504089260037901 77.213327689695759659   47.938002982720860246 38.87827099993073432 82.225029363882242706   44.943852386272027388 40.378483671216258699 87.484701670693837627   43.430863073794306217 42.27810245597289196 93.205299400018645883   44.501151855685343151 44.344125570992112273 98.923164696236000282   48.659915227145901895 45.696409594384718389 103.2591515928607464   54.503284063511806323 45.665685293922706478 105.28700799794876275   60.499406084914220116 44.16847114879380598 104.90468660947965418   65.466023964021985648 41.437005393840699696 102.39803126185961446   68.675018053090752801 37.932655925447051004 98.399429826600623983   70.312145594510070623 34.206150362015335986 93.677685285900523127   71.339415776261787983 30.481845647049926384 88.772886563098992951   72.609562450412909129 26.750858303997969045 83.931969567023074319   74.053218748523775616 23.017700602331949256 79.139974570515761343   57.95330047607421875 33.13610076904296875 60.5691986083984375   74.053218748523789827 23.017700602331949256 79.139974570515775554   -0.05373371084967605571 0.24968817985399802128 0.9668342676795858015   0.22269989708721757427 -0.59790161744012082501 -0.77001195555642532042   
57.95330047607421875 33.13610076904296875 60.5691986083984375   56.982986734869093937 34.831207210314232725 66.474043082519614245   54.245420600074744755 36.470789907511495187 71.825009684271449828   50.677775277428892764 38.015332332947593841 76.707565147910173664   46.868643211782810454 39.507990650812786271 81.424100979904807218   43.497873811896262453 41.158700832262226754 86.404117328086556427   41.534858159766287145 43.173634056228891609 91.946293831244133798   42.157474462531922654 45.317024355220773657 97.697812524137731316   45.990939665882649479 46.627503905323123945 102.33750019512301321   51.64699331635752344 46.414756695569110434 104.82216461485714376   57.577274392801648162 44.646845854777055251 104.88359170437689727   62.484379232027343676 41.579463040628262149 102.68066838190254941   65.555846977548739574 37.808715747528047757 98.824834405356554612   67.02149158740822088 33.924699530439468731 94.173631909969401477   67.895686224879824522 30.08230815184971263 89.330729091301279254   69.006651415627359825 26.220757901436378745 84.555207793705378094   70.91511917362582551 22.337638678883593002 80.060746172205000448   57.95330047607421875 33.13610076904296875 60.5691986083984375   70.91511917362582551 22.337638678883600107 80.060746172204972027   -0.015061727343486286737 0.26864861806890383278 0.96312048279490913849   0.3653262671583604182 -0.62005643300323365352 -0.69431026091758496488   
57.95330047607421875 33.136100769042961645 60.5691986083984375   56.760853491994154751 35.095420003745985582 66.356759632678546268   53.77041768993385773 37.066524452615311702 71.44846314979656654   49.82191346399645937 38.943757786499780593 75.900540617864194815   45.566154037371894958 40.747740224365941231 80.097839050294808771   41.670378039469966325 42.701944103971655409 84.558713439739520368   39.087829212514122901 45.028856729023296168 89.71161218618509281   38.949235244538293443 47.386618129703869329 95.419890230747554938   41.971741882256118572 48.688793923389482643 100.62737416372215193   47.031433629524293849 48.11976685263595499 104.12635637443902681   52.545847679961426024 45.606359565354452457 105.33545279527231742   57.114576846387130615 41.600976314202547712 104.16296627109610995   59.950645207406701331 36.999720554442220077 101.11802601628198772   61.139270768755352492 32.594812558531508273 96.878570319251721799   61.742810705774111568 28.388723511883693362 92.303983455451543705   62.708067084186623674 24.068024155932626229 87.905039139925150948   64.069894281765797928 19.645510986894450411 83.713764413874429238   57.95330047607421875 33.136100769042961645 60.5691986083984375   64.069894281765812138 19.645510986894446859 83.713764413874429238   -0.08620554517367474967 0.30714372366579317797 0.94775067237856414071   0.22743278851222137327 -0.71034761334273610611 -0.66609353316770336662   
