78.900000000000005684  17
61.44549942016602273 33.1063995361328125 60.072299957275390625   66.139293029088236153 32.313354846426271649 61.338983059344229787   70.952988765466784571 31.32561702552981231 61.507202745598817728   75.629316316293099476 30.181536742366834147 60.482431305300011104   80.080338434719521956 28.985619569857735911 58.735799429517342674   84.324105982452948638 27.798914304108581774 56.527654491117409918   88.296595889096508358 26.667358597981209556 53.838859343214565456   91.962368144407363957 25.629976517453986418 50.711326638697791225   95.354321822157331212 24.695432487103094132 47.257589110242996355   98.547617150497288208 23.852993530127175603 43.596418362473706054   101.55152573808355498 23.117607112758850718 39.756229071303316402   104.38135558238187173 22.484166601472228564 35.768384485780487125   107.07052717856088009 21.920075511968203585 31.673728579710697772   109.76281076421123828 21.360460843690969313 27.580433705257473065   112.6653852581177091 20.79391973750024647 23.637019154578908342   116.12481956510623604 20.275253779593260361 20.16997906511365457   120.05357891330275777 19.840790751065895847 17.224745912348179644   61.44549942016602273 33.1063995361328125 60.072299957275390625   120.05357891330275777 19.840790751065885189 17.224745912348179644   0.93406424976239932345 -0.14608362506812710979 0.32585817743730355334   0.82241172520249927747 -0.082069878323284189969 -0.5629418169948382511   
61.445499420166015625 33.1063995361328125 60.072299957275390625   65.858564983630856204 32.054348326207481534 62.00159868402050023   70.499750694768806625 30.879852548114648414 63.138884168247919604   75.250861591658491534 29.594081348969787371 63.174615643741752535   79.926837917794401278 28.277194167740496766 62.351853922325325641   84.469337354236699866 26.986547282995275054 60.941532848361262609   88.781922310848855773 25.784750034617925252 58.888158100380231019   92.664001134762159495 24.768083379010093381 56.035665925011080901   96.0317151998228411 23.97505225859248057 52.528274873520530264   98.988729125033742662 23.366499089896329622 48.631508187417601619   101.65331935659749263 22.900202064019449466 44.509770702262599684   104.03618400069609606 22.576190312586007281 40.205903914338847471   106.16888998354676232 22.36420099855276078 35.76524678465100493   108.23969627129292803 22.177609736988980416 31.29383500307865873   110.52467825600062667 21.945087141918811824 26.932047775451582794   113.41023072161974028 21.619126328510429147 22.954912880202957837   116.90459203020726875 21.218686133648930081 19.502616213904655496   61.445499420166015625 33.1063995361328125 60.072299957275390625   116.90459203020726875 21.218686133648926528 19.502616213904630627   0.88441639967439045211 -0.20834693834547993174 0.41761128489188775736   0.74513916804057267473 -0.085188807156313328672 -0.66144575543810690821   
61.2454986572265625 33.1063995361328125 60.072299957275390625   65.795049891798399244 32.628689187555693252 61.905462450409018516   70.545648680963878974 31.886852224869848271 62.964159170677582722   75.36197156960547261 30.872803370265177847 63.138573365464289111   80.102325144629389797 29.659379900585626899 62.562148012768986405   84.693298428014287538 28.323951399598843892 61.368942610107865221   89.053403033414426204 26.928092810169918181 59.548483540324198771   93.067849544352725388 25.556658531006171131 57.044885383516152899   96.649989857078764999 24.314070266297676426 53.899439233778515757   99.817160912058710664 23.252510907382987426 50.27546282758772378   102.64002015907450982 22.376027673412785646 46.330645830330333013   105.12714974998995388 21.705816565779219474 42.127797448006489844   107.29610068339569295 21.226062932338809475 37.726335707927894703   109.33512787569678437 20.815695140369488314 33.255215853754407362   111.54998109961009334 20.348718715177746219 28.875927216431897193   114.34502116597147392 19.73399690764549419 24.868579982164032316   117.78180313440321925 18.983401329285587877 21.418261062069564815   61.2454986572265625 33.1063995361328125 60.072299957275390625   117.78180313440321925 18.983401329285577219 21.418261062069539946   0.90371677488413848511 -0.078942494432177601205 0.42078982089142447087   0.73972840194336964004 -0.1605426155051919157 -0.65347376379244248579   
61.44549942016600852 33.1063995361328125 60.072299957275390625   65.940393575910832169 32.569101893791696511 62.021151543980046483   70.642303413785811017 31.800858716267246251 63.266356898131007824   75.452430821634678182 30.810857205955333171 63.635392562467799848   80.232858806037157251 29.694931044461995384 63.217302964164382217   84.891830014086636425 28.520205604218993756 62.124704582048671853   89.343284228020507953 27.325402873600932452 60.383159405373604045   93.47389572001604563 26.157859908399792914 57.965978291679554957   97.206771808815474856 25.071172419028115996 54.938810311847298351   100.55214332584174031 24.095921670550513483 51.453230654273163225   103.52305102369855661 23.255440226850851104 47.611329691024856459   106.07962256316424998 22.600383149608994415 43.448943805739340007   108.24415786387361038 22.128433320635735981 39.044909615626686161   110.21900702376643721 21.737490412425213293 34.543366347307504327   112.36996997573774593 21.296021250221922827 30.129890281789904805   115.04113086998940219 20.72595928627148254 26.029360113858338366   118.2024962235491472 20.049326918008496534 22.308087422714489634   61.44549942016600852 33.1063995361328125 60.072299957275390625   118.2024962235491472 20.049326918008496534 22.308087422714486081   0.89242142540415370089 -0.092364210987405825914 0.44164788237723118236   0.6720287946211450647 -0.1436183617491147424 -0.72646477228324790598   
61.445499420166015625 33.306400299072265625 60.17230224609375   65.956761761233934749 32.679499126731293757 62.05820862867687282   70.649854595441979654 31.884728498626735416 63.324558340538935397   75.453137031436071425 30.889686323253211953 63.766346200630430019   80.232805557458476642 29.735950859060888973 63.450205980719260879   84.904237991705826971 28.482220839661671619 62.506576747155065732   89.381610663307725417 27.169792004049455159 60.924453328042730504   93.545315023718984548 25.857795338448653411 58.642118190618830909   97.327034481268626109 24.623836179716118266 55.73454189266504244   100.71621790600096347 23.523716031134487281 52.330232883454272041   103.72859820044737944 22.592115997354593304 48.542076656882279906   106.34010253232403898 21.880157485205174339 44.423683717430520801   108.56919294940185239 21.384757589988893756 40.054474090226101168   110.63774462876550331 20.97364417441878004 35.597006944186816213   112.83346576650185966 20.516196957429610137 31.206537745595699818   115.52558007113705685 19.898867179600241428 27.12747677975994165   118.74464157464541358 19.125515958836871278 23.475506937733037205   61.445499420166015625 33.306400299072265625 60.17230224609375   118.74464157464539937 19.12551595883687483 23.475506937733047863   0.90083708992651789771 -0.11675188477144018973 0.41816448296697694698   0.68415400781149460219 -0.16588831441499021779 -0.7102213462970702329   
61.445499420166015625 33.306400299072265625 60.17230224609375   65.491894915994777193 32.859319726047459653 62.954321455340597424   69.704390372985457702 32.258642261579197452 65.441713504651772837   74.15755489455008842 31.43240397154159993 67.38166171312808217   78.800378490876866522 30.430234780479150203 68.693039986685008103   83.554240175604888918 29.307893957761436354 69.337437507923098678   88.318677048822664233 28.09881613587686644 69.106200399727114814   92.83754187329934382 26.880812518390474253 67.604887553126900457   96.811688917252752162 25.809088367833158628 64.913936709241113476   100.06829409529663621 24.973289295383438002 61.320410907647641352   102.56105778762490388 24.412874542019419977 57.11170845239875149   104.3228929701456309 24.139826167255712619 52.519530416594328415   105.53167258836180054 24.089149116154356278 47.740903480044224239   106.50087667879223829 24.128847550891578067 42.906072576915605055   107.61530766618542998 24.124612357269278107 38.103898631640198857   109.3008247682118963 23.954378179775527968 33.477595696375928469   111.5413862818310804 23.627255555831183642 29.098752389887266645   61.445499420166015625 33.306400299072265625 60.17230224609375   111.5413862818310804 23.627255555831172984 29.09875238988727375   0.81035918978161680659 -0.08178237008022731791 0.5801979209550327532   0.4883350673247947582 -0.075939718707381712037 -0.8693457431560426274   
61.2454986572265625 33.1063995361328125 60.072299957275390625   65.071792339188093024 32.647015577054609992 63.148747074984854066   69.045494809350344667 32.084288118524057154 66.011230973006718159   73.27703482545612701 31.317725582445397947 68.416707412218926265   77.740892397414597781 30.332803738222370527 70.257219610732079218   82.36821559028686579 29.163090107519977323 71.479769360525381217   87.093218542197334386 27.838229130367931674 71.846246049545939627   91.698691851788410645 26.44940319531183448 70.855785646352302365   95.791581816783917702 25.203278231407722387 68.440979724183137023   99.126567861055633557 24.250202917931677149 64.953602392752941341   101.66213924556220149 23.6504015107393748 60.777609288416698519   103.4017470621051018 23.425183615512899848 56.176557667688662434   104.4583454484572087 23.51451784866693373 51.364003021272381488   105.16948066512028959 23.755248064341856207 46.490553520514851016   105.9357286665027118 23.977418649113914739 41.625397317682299558   107.36789725236180004 23.95669383040067757 36.914718267489149639   109.53816624352771214 23.665591489197414177 32.499585286838843956   61.2454986572265625 33.1063995361328125 60.072299957275390625   109.53816624352771214 23.665591489197421282 32.499585286838886589   0.77132606485078891723 -0.090085132910965634578 0.63003235671686741437   0.4852734136068634907 -0.075911042791659541495 -0.87106097813449601119   
61.245498657226569605 33.1063995361328125 60.072299957275390625   64.497128142214876334 32.7368405079842546 63.760867651387357569   67.647244961572411626 32.443467692578096262 67.543328734884354958   70.841113126632279773 32.116791706320690025 71.285494685191707731   74.289107206813113748 31.592692414873965845 74.768374674843840921   78.090969477819442091 30.796395643137049802 77.797230332302973466   82.372778223739075543 29.671283652657518104 79.932832747651119121   87.053035616032119037 28.324586029391532804 80.482112936142570447   91.584203799789804634 27.075436402697658167 79.101459099835835787   95.351520704826270958 26.190765866398930228 76.086662968038027088   98.037993374469479591 25.75351170004668333 71.996993025702579416   99.551644534603099146 25.769949021067187545 67.31901652022156668   100.02662762868678215 26.19427001261302479 62.436671926461592363   99.910075432798379325 26.839274249698007679 57.55011989701410613   99.812225891041720161 27.481677593138396531 52.663152088613109925   100.35313504444444277 27.926764438329485074 47.787829684099421002   101.57988359698283887 28.157101124318764107 43.019445623796862321   61.245498657226569605 33.1063995361328125 60.072299957275390625   101.57988359698282466 28.157101124318760554 43.019445623796876532   0.66895723477772128795 -0.082245756701669003874 0.73873666048404185158   0.29216246200415735279 0.032776440294406350429 -0.95580688465677876575   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.571643262111095396 33.025595445394117178 63.705787625555700515   67.531319979922614039 32.37113415679331041 67.595365429837741544   70.506710183650668 31.712996633390307721 71.472162858238135641   73.673422672942677991 31.000167734129536967 75.182786527249234609   77.207676709069431809 30.190784270887217389 78.518941880804533184   81.317603245844722437 29.24394677091482464 81.042474220064377732   86.017254680027065206 28.214105747836150329 81.965568512417291913   90.72376329932556871 27.288594424204408284 80.953968421223962082   94.837195514642871785 26.595753431780504883 78.364067249512160629   98.033837231307856541 26.162613223706681964 74.656840305540043801   100.09048183688125278 26.001415536913182081 70.195602789082030881   101.01938164480910132 26.101098933922862955 65.362749124147896396   101.26598875973819247 26.343690035449885301 60.444883657672058064   101.48920893483209227 26.593177017492610759 55.525993903876802449   102.30466296557537476 26.748907035489608575 50.670014300893441828   103.75465136142372558 26.805869613923537287 45.959010311304538732   61.545501708984375 33.706401824951171875 59.8722991943359375   103.75465136142373979 26.805869613923537287 45.959010311304538732   0.61937646625811126899 -0.14034367868161656823 0.77244834448636512381   0.33423127938859514829 0.0052325544081572245361 -0.94247656323784989585   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.30067465197311094 33.172767922179851041 63.926507603935718294   66.81464917705837081 32.735853972414417967 68.145354704359121456   69.185687743168969632 32.354961099828422277 72.45234983793130823   71.706122012133121757 31.917337490812474954 76.66693959422774185   74.62075812695425725 31.324956409057250539 80.594372045839421048   78.228705100864047495 30.449747147336932329 83.816286086759816953   82.636366975313521266 29.260190691595809653 85.597194078104919868   87.370727021986908767 27.993489621823066216 85.511433023253232477   91.806502244220439479 26.928921471360219186 83.704306915077992812   95.384039258081514845 26.241928020393118004 80.420595050601775711   97.696896845014791211 26.039951937789535208 76.095904844753746943   98.686354757492210865 26.30636917121745455 71.286947077770236092   98.80533198432458164 26.865668502232356474 66.391518415701810341   98.788413009722475522 27.469884766884966609 61.498107245564938239   99.344191597084787304 27.90511188220548533 56.623087676092822562   100.57337571937316056 28.137146959112072864 51.85534685407753841   61.545501708984375 33.706401824951171875 59.8722991943359375   100.57337571937317477 28.137146959112069311 51.855346854077524199   0.57603351728025986578 -0.11527192244660970644 0.80925754297701502082   0.29208834992817123144 0.033768934608227149652 -0.95579498580588051482   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.091823354736519036 33.227932269878863281 64.065960677982843663   66.130394500255391677 32.917746972968885188 68.541769044079174478   67.779052525927966144 32.733868713953491181 73.185234552319784029   69.455419050866609609 32.542679706543445661 77.818305162975732969   71.54236580351583541 32.239059501038518363 82.270924596372253745   74.49578752285233918 31.730999721910762901 86.165127391031887782   78.587809204644443639 31.02008761698989403 88.762897910892064601   83.367514519630788072 30.276501213667415868 89.548497669210917138   88.120691207736754791 29.666555602533197344 88.508623475250573165   92.206246955301054413 29.288408543308666054 85.825941977589110365   95.01794095125941908 29.208389655681290975 81.812096761378683141   96.265594056254101929 29.401894025855945358 77.066958135335568159   96.394579993402956575 29.736896184113209785 72.153066100073985467   96.300971451143738022 30.095679066467109664 67.236463252707920901   96.803218535196535299 30.390682067789072107 62.345071807511509121   97.999014473999181973 30.605379069735597852 57.568157875302020443   61.545501708984375 33.706401824951171875 59.8722991943359375   97.999014473999196184 30.605379069735597852 57.568157875302048865   0.55092640430171113675 -0.10861103058326887494 0.82745618680316102012   0.28870437509952162625 0.037876606932628259505 -0.95666877572421371578   
