79.400000000000005684  17
61.545501708984375 33.706401824951171875 60.072299957275390625   64.118425763074043289 32.138401001474449004 64.014156269455014581   66.307321143980416878 30.739087871268001351 68.239168748056897584   68.200275523934692501 29.479273898763409534 72.649957637164177982   70.209181567207380681 28.153104658740204513 76.988010430813091034   72.684100601345974724 26.543999856523786463 80.968851194648166825   75.870446964161914138 24.498083936344482225 84.147199796737609745   79.875526127562139322 22.169329959875053504 85.835849128073547831   84.359034712351075314 20.136135459261154779 85.62066127193602938   88.696941019736911471 18.952422302845377544 83.602671937275800929   92.267149950098982458 18.904044848718580596 80.201625226748532782   94.667346455783388137 20.007361263277712027 76.028786537962972147   95.955875841135792825 21.969380849732289107 71.669111502294626348   96.608788687974538334 24.301047557695731882 67.338587436874803416   97.366015928560770476 26.619123005884013367 63.019670813436924561   99.074929187734369407 28.700790998545517851 58.868247886568610738   101.84501292721841992 30.468844424369407875 55.158946067634417432   61.545501708984375 33.706401824951171875 60.072299957275390625   101.8450129272183915 30.468844424369407875 55.158946067634396115   0.54045253797770442805 -0.32521552121850244577 0.7759806176394071775   0.62666322436977661692 0.33114437887466680044 -0.70543362803469056299   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.148133401327754655 32.273097244051740518 63.846623434401017505   66.523639324530961403 30.979039233532041919 68.00549775594527091   68.696008857410930659 29.812687260551054891 72.311996382533777705   70.96110139322355792 28.583368388407198069 76.551530458035557558   73.62140196071010223 27.079423296710160685 80.45457722627290309   76.895975006793904072 25.142127570041267859 83.616554707097037635   80.819300835944531514 22.820159784557468186 85.527367893305779489   85.14758556323687344 20.481787751456074886 86.008444035968423691   89.607501265900907583 18.781961555854707058 84.801173625707065185   93.620775521455385615 18.471481835074417432 81.965829558412920619   96.669326962231139078 19.580372580881007849 78.244353712962464442   98.669250641221253773 21.721161895092155447 74.254354909158053033   100.05570878639399268 24.289273348354335269 70.242137598058917547   101.42348494821905547 26.87863261787108371 66.23678821433705366   103.37682615867279878 29.235944997588362071 62.339525697336597432   106.08003622153694323 31.261527068595786005 58.709551300664479356   61.545501708984375 33.706401824951171875 59.8722991943359375   106.08003622153692902 31.261527068595789558 58.709551300664479356   0.53552360645962782115 -0.29557503877340368659 0.79110673324057545486   0.59759047667847364771 0.38136587616371958598 -0.70529829907711627524   
61.545501708984375 33.706401824951171875 59.8722991943359375   63.975401825993948535 32.315944504665836234 63.967726598940018334   65.918615346179350922 31.129606982700103401 68.373187841378936014   67.509692606728265218 30.093512866552465823 72.957960710475731503   69.234784156122429977 29.00854387208261187 77.481402675381048084   71.440279275574539497 27.775385781195481627 81.746173169182441143   74.498971564018233948 26.382133297702630159 85.374750744405389469   78.61893898608994391 25.008725070977035898 87.710274864521892368   83.426840660894825419 24.046797497090608431 88.205418398976789263   88.192856529597449367 23.78858733306432427 86.950550255852462556   92.308199506623637376 24.370161565924838953 84.287450672640161997   95.32340515587057439 25.837378048851721957 80.660564069254206743   97.169872439648500517 27.948675427861793708 76.580236229931685443   98.370013003666144868 30.298290177941844092 72.377868840079301549   99.92943397074552081 32.57161857179147546 68.260761910608266589   102.58654570610107726 34.549865912884172303 64.585215077438689946   106.06617591831083303 36.210797774389767767 61.467412546397973472   61.545501708984375 33.706401824951171875 59.8722991943359375   106.06617591831083303 36.210797774389767767 61.467412546397973472   0.51996134419709161278 -0.29255046296627956748 0.80253001636011678244   0.74435715212618513981 0.3134275661896022136 -0.58965718076782391854   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.046671196055569908 32.484406159398680813 63.979124491540872555   66.070698328555508283 31.325728595527355225 68.355857756821038151   67.706513402172035399 30.232788813277913675 72.91148006425142114   69.45864780723903209 29.12025305053567692 77.417708782239571974   71.760903681373051199 27.933959503452470585 81.643140091172114126   75.00522185268756914 26.728911341904197485 85.172918493023388464   79.303703667951239709 25.738700839276383192 87.379340495067040706   84.195021106907660169 25.300031678475598085 87.80818801294552145   88.935720844233060234 25.636364552868730726 86.489764580811211658   92.877080271569482761 26.81886167310942426 83.764178253138396713   95.616212316898668178 28.743600050048495831 80.129532957432488161   97.164395305135826675 31.135706608871789314 76.079221318145982877   97.991519876069318684 33.694322557492526471 71.909869297219572104   98.966053518825560786 36.243533190992586412 67.770645043982824518   101.0050775759638384 38.638014963478440222 63.949614729001375224   103.89128560589111316 40.824969334885189198 60.560632745872908345   61.545501708984375 33.706401824951171875 59.8722991943359375   103.89128560589109895 40.824969334885160777 60.560632745872922555   0.53104686016324431641 -0.24927255474986756423 0.80984716197516803948   0.62203033441315136454 0.42743104544613547136 -0.65603427079588372273   
61.2454986572265625 33.1063995361328125 60.072299957275390625   64.198833844045097408 32.179625138511745774 63.949154773253624739   66.67982174739694301 31.380713964214741907 68.168324577527613428   68.849181149226510001 30.669281570120286773 72.574409932339207785   71.230525269457757531 29.913531312771727499 76.85960504373478841   74.182484308011737539 29.089021928954512219 80.754628695597574506   77.93870550229297578 28.326412908460223861 83.878554916883700798   82.563466053444827253 27.962156244257315052 85.544870908797690845   87.471930649648754752 28.318995391692109109 85.327312386262477162   91.86789975104979078 29.473546283642868104 83.40824688988000446   95.219199184950966242 31.329442596476837934 80.290146022437568263   97.261049503021510532 33.743261733468386865 76.491173776352383129   97.987707861088509276 36.510147238299992978 72.450684519479906953   97.990697154972991711 39.360246434856357212 68.388975180831977241   98.443566966226811132 42.244187914800498618 64.388328880944541766   99.994723190538849167 45.159038566798848535 60.695541568476386374   102.12778217022633953 48.04667856447285601 57.270590923636000014   61.2454986572265625 33.1063995361328125 60.072299957275390625   102.12778217022633953 48.046678564472863115 57.270590923636000014   0.62409073420688943035 -0.19440174627749678971 0.75678181566510005496   0.45102929231187177672 0.57988023204786520726 -0.67846259584207457838   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.184427264605801611 32.708973999967419388 63.953749247855910198   66.450642228822218271 31.829216755670721284 68.277807876228649775   68.430701210196872353 31.035502551011617811 72.758200595712835934   70.520580603900526739 30.236127181005436171 77.186291850917115198   73.14749375569975598 29.478019648871644165 81.319894808773952377   76.660774623599280631 29.031540881923170616 84.769220253807660015   81.077603279360687338 29.331324571618715424 86.940129091021859153   85.804464686404656959 30.638400763848306241 87.418063716874598867   90.051369088597866153 32.868793529810403697 86.264964508853182679   93.296732873594166335 35.756284774346482891 83.909779899478252219   95.285230751779693037 39.054881373198455208 80.811078430240513626   95.894362894530232211 42.53721785356570706 77.349231989615930161   95.62753324214561701 45.987744432260406313 73.794392796033889681   95.700057757363566679 49.509843519428194725 70.312654797313669519   96.978571561126841516 53.174134266644976776 67.243474921186887627   99.135711720973716865 56.813112269261843323 64.655483576031187454   61.545501708984375 33.706401824951171875 59.8722991943359375   99.135711720973716865 56.813112269261843323 64.655483576031187454   0.55565055503069682441 -0.20848369968807559105 0.8048521650952124018   0.48104209623250215877 0.72690835556022270758 -0.49010482987721404324   
61.545501708984375 33.706401824951171875 59.872299194335930395   64.129185235661481101 32.589213072346559841 63.958157020876249987   66.330753808019053963 31.620177149377745707 68.295741272965869939   68.149432883456555032 30.777905125107995588 72.834826355668951692   70.050179212823692865 29.949051784623293315 77.341893135446895258   72.516027510633250586 29.218938793194148218 81.576997666316557911   75.918812593626952889 28.935540754468409119 85.151283424185081117   80.206809536353517842 29.556152853638490541 87.502018775038777676   84.754942118525804062 31.323747155622054805 88.161304163616861729   88.717099574614110225 34.074441802008550439 87.137333791319420584   91.622461961748399517 37.404584823236120883 84.923449106120997953   93.275719281409379846 41.012944049357166421 81.977146296921745261   93.541799719355466891 44.665780623321552412 78.650203392232512556   92.890457944655466349 48.193643421086967749 75.224351884767358456   92.367449375243381837 51.776950712607899163 71.839276300509894213   92.964493285064577321 55.664736875343628242 68.841764243415269675   94.572530895763406988 59.672294617520364568 66.405918136769898297   61.545501708984375 33.706401824951171875 59.872299194335930395   94.572530895763406988 59.672294617520364568 66.405918136769898297   0.54255145245690716838 -0.23376248289870488195 0.80684138653513148842   0.37853628179026371781 0.80711748236878055884 -0.45306914816955201619   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.092315130287829561 34.292048720102158654 64.085065772367329373   65.78826435286140395 35.593804917722167147 68.54729074088398022   66.606004578826428997 37.544689704348250814 73.031436029425606193   67.104022683600888399 39.720202275299875794 77.463518327581283529   67.476567280224600154 41.995114143039522503 81.857483842992550649   67.472232231629817534 44.5863319063768202 86.082345653703185917   66.608601407338142053 47.812824823238202043 89.728245154881818735   64.757012088892494717 51.515888691601531946 92.436942010591295116   62.180212677608309946 55.3184127309228586 94.29583732331721535   59.159473503650133352 59.063982073578422671 95.493826886668870202   55.936927394950636483 62.767886686029726206 96.208138481624828842   52.638590621554584459 66.444230081138570654 96.688430535841078495   49.375272588447536748 70.137340538893525377 97.26094732566994594   46.182203121791800982 73.860161813186209656 98.014860274718330402   42.748155428505370423 77.428115725659708346 98.105742758635585687   41.763248553556863385 78.34419625970625134 97.957708023786011609   61.545501708984375 33.706401824951171875 59.8722991943359375   41.763248553556863385 78.34419625970625134 97.957708023786025819   0.56087068666744055445 0.074064191208316434989 0.82458387591430137853   -0.73352576756967979854 0.66574273882166978833 -0.13684499997272145388   
61.345500946044921875 32.806400299072265625 60.17230224609375   64.081506774275212024 34.137138305993509846 64.087300646626218281   65.903994086230881067 35.968973933331312764 68.308272454494556314   66.794561517335267808 38.24601787403999964 72.622310073794437812   67.408792065196664112 40.655449830295161462 76.916889055862256441   67.910267279552115838 43.139858221319904885 81.18223712696503469   67.976798244660059822 45.953065447016676615 85.262538152402044034   67.292987162838215909 49.345408438407680762 88.797651250772204889   65.663293271249045802 53.301641663725625619 91.266618849588340368   63.304364687552109103 57.440574709069046833 92.624685448460851944   60.551806658434990993 61.512041829070916776 93.288496359424442517   57.583637883284346515 65.480233665837758394 93.532660730256694137   54.526754119473238802 69.388918902587306548 93.590057926813145173   51.497934658154981946 73.317787601842354661 93.707500266130878686   48.566158480960282873 77.308464760808348615 94.023913067550239475   45.717470967729568088 81.343574418444092089 94.5013681210099179   44.948222750348989507 82.447688695874589371 94.645944383889101914   61.345500946044921875 32.806400299072265625 60.17230224609375   44.948222750348989507 82.447688695874560949 94.645944383889087703   0.60033091407324867816 0.23706529510048210407 0.76380811691608729852   -0.56739956377132383381 0.81624476338062046388 0.1086380287276347556   
61.545501708984375 33.706401824951171875 59.8722991943359375   64.387909448794985678 34.518901583174979919 63.853251340880497366   66.523069326685586589 35.967979132231555184 68.079135426966487898   67.907477366668842933 38.036168768831394971 72.368133656722633873   69.012534206771888989 40.338072677428392865 76.623084933984287659   70.007061140413398448 42.749779634888348312 80.843660591707916296   70.588843074596908878 45.608268410553549188 84.846302170421409983   70.326253212953517391 49.297872163163738435 88.121186250871502921   69.12325634078939629 53.612965128215513744 90.205035677588682574   67.154570187050879326 58.057187403116280677 91.150391375419005158   64.741955302748976919 62.383565042165912473 91.381553760541208931   62.072861925624359003 66.56065292676716183 91.182160681398258362   59.283084495770296485 70.643327477584136886 90.76497867785236906   56.534907793650155838 74.762757929191423045 90.458465108702725388   53.907478330877161454 78.971797898883849598 90.47112510034855859   51.38212552597031646 83.233544903086396971 90.752010348564269293   48.949099513508912196 87.528203019696178444 91.263146969213437387   61.545501708984375 33.706401824951171875 59.8722991943359375   48.949099513508897985 87.528203019696178444 91.263146969213437387   0.61394406917198496298 0.12277359727120927546 0.77974311394306783374   -0.48644825381875494985 0.86647143288423944529 0.11222901742516108725   
