77.900000000000005684  17
60.945499420166015625 33.306400299072265625 60.17230224609375   63.47740620265369671 32.977594853156901422 64.309306703000260086   64.894181919694986505 32.953548287502627545 68.950944606215571753   65.260073154582897814 33.272017915888255857 73.789252631894072465   65.179093798197868637 33.697354544171993496 78.638498030810339401   65.132738498336280486 34.157505221006140061 83.484571949081797015   65.610600953795241708 35.037928587937415159 88.236547566398968456   66.971296539219395072 37.102828422483327131 92.395136944047948191   68.935812313962301801 40.466894810851414377 95.25821783145244126   71.070751219476932192 44.654733704098589442 96.409545823738625359   73.022445082634092728 49.058692890477509252 95.869705523172370931   74.575199443790751275 53.21806903469042993 93.917203155687076332   75.487920327084296446 56.730336303480484617 90.705475016239930142   75.62769741447873173 59.304119365222028648 86.59209088009291122   75.246717772608391783 61.175472096546627654 82.116476381446815935   74.797191750349583117 62.94778101218040689 77.604992704094641454   74.653568271022678005 65.096358526238745412 73.241407331822898641   60.945499420166015625 33.306400299072265625 60.17230224609375   74.653568271022649583 65.096358526238745412 73.241407331822898641   0.58984636001137324968 -0.086950399037119638357 0.80282058997550498347   0.0058933985893530847766 0.48220062840403882243 -0.87604099323023554291   
61.2454986572265625 33.50640106201171875 60.17230224609375   63.582179400618791476 33.187202161294571567 64.425419399918695262   64.954255871361880281 33.268988626377115736 69.082086721608860103   65.346838389515696122 33.809723058428716058 73.898360835995063667   65.274834766447355605 34.552241337057566284 78.709244038459132753   65.273767367295405961 35.326811503543154913 83.515314215865572578   65.748536661829646732 36.366408862374179023 88.240440662111581105   67.090538793890843294 38.41067780828794298 92.413315806333429236   69.034745363847122235 41.897252925911452337 95.124729457139721944   71.000960776031206478 46.227960775003950289 96.032020319010655385   72.724604054266094977 50.71495180255274704 95.385324414121328118   74.043073642973325832 54.926879630797238008 93.373556264055849852   74.738551708860157419 58.442995720908996304 90.112647091525872156   74.711618232078933488 60.948652933426330947 85.956046557572861389   74.222954464784166362 62.724520662920035363 81.451176458851890061   73.74655309951586446 64.515077220330979912 76.950285320443811088   73.541286472851311373 66.709694458285554219 72.611335574257850567   61.2454986572265625 33.50640106201171875 60.17230224609375   73.541286472851311373 66.709694458285554219 72.611335574257850567   0.53994953441379922587 -0.091065794951211406771 0.83675654839160051868   -0.016285286342953182726 0.48725496021495123822 -0.8731078932151818961   
61.2454986572265625 33.50640106201171875 60.17230224609375   63.562975786175520909 33.337093010743913624 64.445408005845067123   64.941377711390416039 33.631538011490007989 69.090134922957247454   65.289548904798380136 34.40118862005388678 73.879107428391492363   65.204436578364081356 35.312993953607119124 78.660729909066020582   65.18050755239677585 36.245777536408880337 83.439030204206019903   65.394702706442316753 37.310399466628702214 88.182642195739660451   66.385659766461600384 39.347180477692006662 92.453335573548685034   67.980889081010616337 42.913008150778459537 95.287712354109430635   69.539143905697798687 47.376604251731940565 96.324390436000882687   70.788026793282810445 52.03008324398733464 95.787921660581815786   71.597704994511460086 56.382060591947166017 93.807640056736275369   71.841569810389813711 59.977880587388995082 90.567991643617432374   71.496107819947539497 62.56042254810866865 86.469848945945855689   70.812996373548912743 64.508928093023598649 82.061541034860724153   70.224167760305604702 66.596122692659463382 77.70526958916693161   69.967975621431762079 69.147062156956593526 73.569007076398477807   61.2454986572265625 33.50640106201171875 60.17230224609375   69.967975621431747868 69.147062156956593526 73.569007076398477807   0.52943344336927800065 -0.061811524777146513443 0.84609666377245151825   -0.023875531342187696765 0.56030843943117347727 -0.82793985995682795043   
61.2454986572265625 33.50640106201171875 60.17230224609375   63.593870136819262484 33.64752218741381995 64.430668226710693602   64.884626249276678323 34.169937328946950572 69.078539180147188858   65.123663357924897355 34.984188539029311471 73.868706114167281385   65.025224767008779736 35.847227872453316877 78.659268407196975659   64.958424680996898815 36.728092671721761064 83.4471616302371757   65.010420550912172644 37.732576827039409295 88.209047810395574629   65.639885753359237697 39.96920400215628888 92.440020250543113889   66.628493678492446861 43.802646903664552269 95.217075313578163787   67.58373432259166691 48.403726641480240289 96.396969953217691796   68.351038478066655557 53.183020505828217495 96.080134816387442243   68.796548392715038744 57.722980353472721049 94.4252022635610615   68.725389119646081326 61.627787902133192688 91.552019305419264583   68.070086902757481084 64.639351181612568098 87.797853752626480173   67.074433122189333289 67.063243797443121252 83.695458159404637399   66.166367759983799601 69.615067519208125191 79.652760754491751527   65.608783734394464204 72.643017862912657279 75.885214963279480571   61.2454986572265625 33.50640106201171875 60.17230224609375   65.608783734394464204 72.64301786291267149 75.885214963279494782   0.52620174209909531537 0.011662601171438640932 0.85027978356879263533   -0.080797739068087945369 0.66263335058784100795 -0.74457287625202583925   
61.445499420166015625 33.1063995361328125 60.07229995727539773   63.526586458020290138 33.072375663342263863 64.470513271322047899   64.882291377820280331 33.53367505165061857 69.112487069907913906   65.323311641305338071 34.859693875988071454 73.757630967027694169   65.210869065250903986 36.952877977669658094 78.149516090631280463   65.119052257020200614 38.765274601781570141 82.650418179160851651   65.215653840635468441 37.677744412629834869 87.173112401439013297   65.168870436474506391 33.170116356928303958 87.409084423008835074   65.081460634559945788 30.678300404252862421 83.360158369043674043   65.074341290927790737 30.415824042276284445 78.515278459483369033   65.077236283478995915 31.084315415215659328 73.697932601625922189   65.047247954673125037 32.858896102322376009 69.191648063922215783   65.067473269832177607 36.372299796000525873 65.88660544290517862   65.467551359946611456 40.857347014742515512 64.089683414649186943   66.385651430788030325 45.590435830306439868 63.488236429800288363   67.45688820558319776 50.332474885031452061 63.226792444695348649   68.446564101021579063 55.078450343483517315 62.779906925534902484   61.445499420166015625 33.1063995361328125 60.07229995727539773   68.446564101021593274 55.078450343483545737 62.77990692553490959   0.46841196371303628343 -0.03283279663292688888 0.88289990356537972893   0.19955356238827487436 0.9747603322895828093 -0.10010329831155076463   
61.2454986572265625 33.50640106201171875 60.172302246093742895   63.384762755139071544 32.159862293496118468 64.329458995342719163   64.792678878580062474 31.480350056583883855 68.922949765514573528   65.361128200663685561 31.693166975601702262 73.746395872947005046   65.591987699464141315 32.51305955836147632 78.535337511349737838   65.556101626886160716 34.516329739558564427 82.939932429576145978   65.146404340136044198 38.223455247981881655 85.981833779204052348   64.315911179556891852 42.865479730301053962 87.077097149930722253   63.415043044500727376 47.625604408943488011 86.792320246185497012   62.804259434951340779 52.124345652613889968 85.087679172803916572   62.502845605307058463 56.279101143877596769 82.573263674333830409   62.404839540962356637 59.839557705808402943 79.947915238267668769   62.404839540962356637 59.839557705808402943 79.947915238267668769   62.404839540962356637 59.839557705808402943 79.947915238267668769   62.404839540962356637 59.839557705808402943 79.947915238267668769   62.404839540962356637 59.839557705808402943 79.947915238267668769   62.404839540962356637 59.839557705808402943 79.947915238267668769   61.2454986572265625 33.50640106201171875 60.172302246093742895   62.404839540962356637 59.839557705808402943 79.947915238267668769   0.47341008902285192095 -0.30789800338394479606 0.82527674577898824104   -0.0046749829902809833526 0.78147616043611423109 -0.62391758686870724127   
60.945499420166015625 33.306400299072265625 60.17230224609375   63.522428635554994969 33.116174184281426562 64.29019891187073199   65.027555938126610613 33.333642991878313921 68.898974765526546093   65.561445626277290444 34.014203063235264324 73.685329353189175094   65.691104359994469064 34.939046023792805329 78.463168988191156927   65.755343184493625586 35.901766822100114496 83.235353976488255512   65.707645143207685123 36.900717271550426801 87.999794445021763067   66.070238799143808706 37.839091434614765319 92.75267096422361135   67.895178228142981425 38.54929735084756004 97.184572459970155478   71.1601332931895314 38.939827105721803946 100.74352529432253789   72.839098558892104052 39.059735439129624979 102.18027264223334782   72.839098558892104052 39.059735439129624979 102.18027264223334782   72.839098558892104052 39.059735439129624979 102.18027264223334782   72.839098558892104052 39.059735439129624979 102.18027264223334782   72.839098558892104052 39.059735439129624979 102.18027264223334782   72.839098558892104052 39.059735439129624979 102.18027264223334782   72.839098558892104052 39.059735439129624979 102.18027264223334782   60.945499420166015625 33.306400299072265625 60.17230224609375   72.839098558892104052 39.05973543912963919 102.18027264223334782   0.59774883417111535078 -0.064053552277010220029 0.79912043753602546303   0.7642805736769839875 0.052264626620178493421 0.64276248607415853442   
61.545501708984375 33.706401824951171875 59.8722991943359375   63.697771742784759397 33.720108084298033191 64.237402901593270599   65.141768311306776695 33.474558124549503191 68.869914509829982308   65.582529252165940648 32.869134104944691899 73.673583815002345432   65.554448276225400605 32.09641638369154748 78.480273498821745193   65.716451003635285133 31.547229787137148094 83.312998259773266341   65.215884154624959024 28.4088751785539948 85.908286513767947667   65.136089222145727717 26.489515490302096623 81.872218947362853214   65.286635089969152546 28.250588755894163739 77.38056941542355105   65.313295770031686516 30.958410203001168526 73.334517350554037307   65.350049730274605508 33.748924057227952744 69.346851737527998694   65.558993541936416705 37.185398481352436306 65.927430255423459471   66.04817703283362107 41.370816017642709994 63.509516548979306094   66.667872575306901695 45.885902852035343358 61.805103265288245495   67.339556474467840985 50.536585058166473061 60.533926091354949506   68.048618205252097368 55.265471533943866689 59.623147661269698006   68.777233033175662058 60.025750030477382779 58.906682811145678613   61.545501708984375 33.706401824951171875 59.8722991943359375   68.777233033175662058 60.025750030477382779 58.906682811145678613   0.47680103104016563487 0.015663029143995737397 0.87887168933642967339   0.14980852665265426138 0.97793912793988524434 -0.14557632838595860325   
60.945499420166015625 33.306400299072265625 60.17230224609375   63.545518712414825302 33.639222550308815585 64.2712761029592059   65.068048769004960263 33.399227013222279936 68.864073345040182517   65.355844691167902738 32.520648713993232093 73.636582209228905072   65.267950173318894258 31.425551316992230255 78.379678663902083713   65.041407664038402459 29.814468099333325313 82.911301037074210285   64.677103507314811282 25.91618416191582952 82.558711550777971411   64.938022401691171126 26.413373111691988981 77.937493480131251999   65.074797392464674317 29.374153059262063437 74.083851275952000037   64.994652284516462259 32.140294795818519447 70.094639588871672231   63.963030426869480038 33.631928211750988567 65.601135669952938656   62.608555542272547711 34.745694279982771491 61.072417905951454031   62.197883165533099259 37.877572673935148373 57.479978717685092704   62.872162835308458284 42.286403749335349289 55.590368432730251413   63.886652006233568102 46.054786463979077382 54.805879488069230376   63.886652006233568102 46.054786463979077382 54.805879488069230376   63.886652006233568102 46.054786463979077382 54.805879488069230376   60.945499420166015625 33.306400299072265625 60.17230224609375   63.886652006233546786 46.054786463979070277 54.805879488069216166   0.56694804698695799861 0.086565205227834493562 0.81919251538422621639   0.28804866462578471165 0.94714849645362841901 -0.14120089402313271143   
61.445499420166015625 33.1063995361328125 60.072299957275390625   63.608918278924498679 33.822872359875390202 64.371859202156358037   64.979268001040296099 34.18027571993700775 69.015355433306609712   65.288301419096455902 34.073004207634525642 73.86740424469830657   65.257617162281945866 33.790460853473483382 78.727791333413961183   65.248213094662290246 33.564212622598084579 83.590180309545942805   65.447907732025285554 33.770018373124877087 88.447909959736236374   65.896702205397744478 34.5606892092985305 93.225468882959987127   67.085510654359822524 36.486639102871478713 97.46775920372513724   69.355804088944140062 40.222172074009058917 99.33058798313254556   70.915665028651204693 44.645895313286260375 98.259240854891160666   70.936839203304572266 48.841679651595647726 95.852031558083353957   69.445904810104337912 52.463054442042832193 92.980205129422742516   68.521653432985360155 56.337289197362359516 90.239543592881375389   69.049278833964066848 60.619155704794650319 87.99151419059312218   69.6689957250206362 64.913687734524629036 85.783434329575925403   70.282435178135983733 69.207733761128963579 83.57239720472443878   61.445499420166015625 33.1063995361328125 60.072299957275390625   70.282435178135997944 69.207733761128963579 83.57239720472443878   0.48278512220369435015 0.16454894208658499277 0.86014078582343167501   0.13671858293144661944 0.88293544648782540385 -0.44914699867255153398   
