78.900000000000005684  17
58.87969970703125 33.330898284912109375 60.631397247314453125   63.536284352565417066 33.653672028568060171 62.052050092739719389   68.319716281936607061 33.149611330574906276 61.132877231524197725   72.813712300296657531 32.363851361826739605 59.263806101271029547   77.234838338174597538 31.542007977814648712 57.240510611226490312   81.529022912089700981 30.680712668035404533 54.97771145199131837   85.512191374427487744 29.779032106942352698 52.221552219529662864   89.060795354790187162 28.87639094238884141 48.923357887087291829   92.272935657213139393 27.996830532595463836 45.288128131643922814   95.24173552637097373 27.146137621080793423 41.444612580091906295   98.048446224359224743 26.319459812294088152 37.475298544651231225   100.86155484223240819 25.492505094761892082 33.510546756680135161   103.74798441782304792 24.658467025772644377 29.600359268320794115   106.66782377201643328 23.822573098719409757 25.715391101338070712   109.60025983195835408 22.986518497455204368 21.839948702649905954   112.61794131980219902 22.154272324601159028 18.030686072792892816   116.03431774277491684 21.35086919650888504 14.571204191898164737   58.87969970703125 33.330898284912109375 60.631397247314453125   116.03431774277491684 21.35086919650888504 14.571204191898178948   0.85844737792615377625 0.14196474558223098894 0.49286317608793200895   0.73604589170733958348 -0.15866685579867439992 -0.65807391239260504268   
58.779697418212890625 32.730899810791015625 60.83139801025390625   63.609417844917452101 32.68837827158275644 61.721800524777634678   68.410026973647802606 32.076078955020541628 60.892791510070146899   73.002725946953660241 31.256619158201637276 59.296821595669996441   77.560773891443872685 30.420862709534645774 57.611074621020556208   81.987564383406606794 29.566118721295165273 55.62066204742224329   86.028373159004061677 28.728359512401308251 52.935107237387981627   89.54995802249119663 27.961485417196755066 49.574723436200436311   92.797433720886473907 27.236427136489510303 45.935916909312297207   95.900317510075069549 26.532397767416263434 42.168733610803251111   98.941414220024142878 25.836973319177268138 38.349664783678171887   101.98924933938631909 25.141521293643243951 34.536004106633569677   105.13643943925224278 24.444322576611902775 30.804679049879453601   108.4065531149268935 23.747587712045898911 27.180065605378185722   111.54711713429034603 23.054935889725797438 23.442619274325497969   114.62144482957856439 22.364912138728175961 19.649499973431574062   117.89990440091578705 21.668404593867133912 16.033469408133207423   58.779697418212890625 32.730899810791015625 60.83139801025390625   117.89990440091580126 21.668404593867130359 16.033469408133200318   0.95235331574126513843 0.034751708367838370084 0.30301069413823528143   0.68724805440977010385 -0.14178687693238029022 -0.71245111638606317683   
58.97969818115234375 32.730899810791015625 60.83139801025390625   59.261234121950820963 33.25102951848593591 65.722552759341212436   58.422600629006282702 33.583398624778283192 70.553120403456304643   56.410408166703568611 33.770100028762875866 75.042586503943866205   53.882401274266520375 33.90702639587373568 79.273924413028197478   51.497974959608853851 34.065771545154433397 83.584914610282481817   49.915136169614910955 34.335452364279582582 88.233877113037550544   49.728097344633177102 34.738716288581201752 93.124643480273036289   51.017857292898113997 35.171472174562779855 97.845859599539735996   53.564823029478546346 35.51494687150183438 102.03662810253180737   57.21333036263767724 35.655816479096692717 105.32290458593259075   61.637347490105717895 35.552591813954791178 107.46526823014026775   66.443218032150099361 35.23434657365975653 108.4706799405913813   71.334356929719319851 34.736387298296598658 108.32772099930025433   75.989844441845676215 34.061765709236595967 106.9048057213129681   80.058514984229759648 33.247778779372374913 104.26420937259169364   83.563934921349783735 32.371960701618199607 100.91259276795786093   58.97969818115234375 32.730899810791015625 60.83139801025390625   83.563934921349783735 32.371960701618199607 100.91259276795784672   0.11398074471564913213 0.11486500896727763754 0.98682035829679426442   0.67492607183035047136 -0.1800356684521548789 -0.7155850443159348373   
58.679698944091796875 33.330898284912109375 60.631397247314453125   58.771540687046844198 33.916606068140502828 65.512912098851174392   57.194684294099886301 34.298676714721707981 70.135746626702143658   54.220074400750519317 34.473587663427920802 74.049260342464023665   50.686533050068192097 34.512122415207102222 77.487795630386372636   47.307139505296127879 34.667710198103421249 81.069168867236442111   44.774931344562141078 35.404377109468555318 85.210419000910746945   43.907112092616294774 37.020420462136563344 89.742442324949664112   45.097479836776031448 39.220102724844963404 93.949197990789159007   48.009691296443001818 41.458078705284002297 97.193709950261649055   52.072889097508870293 43.393336280884270195 99.151490951767158322   56.720901630386109105 44.881054193253007156 99.704545388650302584   61.46718364115174893 45.93133681502444432 98.957950573729789312   65.919652726744118354 46.641805430592079063 96.998659752515948185   69.742487054428153215 47.108923090826685609 93.939440984003127255   72.833750784057755823 47.413518292153170819 90.117680377783656809   75.442795928504281733 47.631908333220181362 85.940247159986910219   58.679698944091796875 33.330898284912109375 60.631397247314453125   75.442795928504295944 47.631908333220188467 85.940247159986853376   0.13039575839122213852 0.13024120748223388944 0.98287037500738005935   0.50245921903437329448 0.03980062792796949106 -0.86368434235194224691   
58.87969970703125 33.130901336669921875 60.33139801025390625   58.965879010739811861 33.758068426679315621 65.21685391192234249   57.80420419197161408 34.198812127265988181 69.965552466669166165   55.344901141357411234 34.371434006876235401 74.224035066946484562   52.289560889866706361 34.373436014172860098 78.093352462826715055   49.304174956748717307 34.424695695623015013 82.014478903737199289   47.128326361590630711 34.912105827437443395 86.391534547926710275   46.604458746685622827 36.121192242810572282 91.103359516285379982   48.107622317061625949 37.910594537869911846 95.401724912444379356   51.210784084280248862 39.924443698424653348 98.621442603444336328   55.277063596884239871 41.947002391466170934 100.48598624669398305   59.779716709225233728 43.858372068197496674 100.96999612315269701   64.321166126316484224 45.568888769553680618 100.17107750947941724   68.491277375244763448 47.229751456401608323 98.163607872967077128   71.928058763246184526 49.008554512669235237 95.128277895327229885   74.517610934822684499 50.918826057640082183 91.40107655636845152   76.532549132606533249 52.889338702017809624 87.356365312734467921   58.87969970703125 33.130901336669921875 60.33139801025390625   76.532549132606533249 52.889338702017809624 87.356365312734482131   0.074909496066991224095 0.13430947604728540878 0.98810400871714576532   0.37564382400997703426 0.4020094193264259208 -0.83503301985968869658   
58.97969818115234375 32.830898284912109375 60.7313995361328125   59.09371335676316761 33.245344825587650917 65.637818283501715655   57.989398899902980133 33.284539499180304745 70.422089594010188307   55.705298708954252618 32.904290523296765514 74.766105071395443815   52.906505565837534277 32.30254948324819253 78.780170531363737041   50.121495678901439419 31.716571824085196596 82.805756475739187294   47.980615170974807882 31.532135712527654903 87.227510977723767382   47.181957356775903634 32.163612134095494355 92.023157610358254033   47.991212709864271346 33.701324804421453507 96.606815220027002056   50.16751519376131796 35.984106281805992467 100.36626971692366794   53.236339333573120314 38.806356724988596341 102.96502372882589782   56.733267580526444362 41.997576305406504105 104.29662353129873509   60.244096215219570922 45.437822830864412538 104.45428281411781768   63.377168735744596972 49.086812517582281146 103.42687993560728899   65.871310583637054492 52.848593381674852765 101.4623264483926306   67.761949630681129975 56.615992283654058781 98.910549523866492905   69.214015805092515166 60.339111693920266077 96.023951637213627919   58.97969818115234375 32.830898284912109375 60.7313995361328125   69.214015805092500955 60.339111693920273183 96.023951637213627919   0.089041112155826787622 0.1032558467056538809 0.99066135004205768677   0.26296700560679991954 0.75002709660027810923 -0.60688360360743853761   
58.779697418212890625 33.130901336669921875 60.931400299072265625   58.941266616095035147 33.277591329180729929 65.848220921509138748   57.668835939797695289 33.003955265427322274 70.577012867835364318   55.119792410017460327 32.312154857417674236 74.72876458771453656   51.988412417686923561 31.39101924963855339 78.422735775544936132   48.845692581724470926 30.490230416485697873 82.112120659472651596   46.288337574923552609 30.154026699891236518 86.294948627865437629   44.88145523811318327 30.957274724505349894 90.920201634398850388   44.896006303008363147 32.994041766900302548 95.377902442675136285   46.170007629817661154 35.980789828667496977 99.058916478854584398   48.300561781076105206 39.561376461169984964 101.66628223362437211   50.899898026912445914 43.477268840105672609 103.11428734874637314   53.625209710558962684 47.564584468668904549 103.36396068278504856   56.106798649804140666 51.71636481857143508 102.46246055311057432   58.113625706463004406 55.844057859832140878 100.67612913424494536   59.66993439021545953 59.893974085687041509 98.338877902831356437   60.918316997523866974 63.864513880744283369 95.695507057826660002   58.779697418212890625 33.130901336669921875 60.931400299072265625   60.918316997523881184 63.864513880744283369 95.695507057826660002   0.11930775315685017424 0.054220697327948402799 0.99137569872270692173   0.23690192920892660933 0.80023649517202777304 -0.55090745841010191342   
58.779697418212890625 32.730899810791015625 60.83139801025390625   59.004664622006018249 32.944212746519042412 65.741161354233483394   57.743027788614661233 32.698500381701599338 70.473420695750789378   55.169907985690102237 31.997660988439236007 74.607139431845297395   51.960764853780638362 31.026650689879687661 78.219590685865085788   48.723509832238924844 30.085394901302432658 81.815571170869390016   45.973782480887877 29.832402215799856293 85.881050570623912677   44.163448368237780528 30.904731883340559762 90.306203742152320046   43.659664221952766638 33.479025037426097811 94.439147906847182412   44.362656799010792952 37.123740845542371858 97.649586555594837023   45.894654857278538884 41.329166770875950476 99.674490536466720414   47.911485013816275114 45.749406002703310037 100.43209141339195867   50.066452781829291041 50.157239131148692479 100.04098539276337476   52.035741162256890391 54.449330193615068652 98.650429729671998302   53.645598003388947461 58.580182484919838259 96.501363053741712861   54.908521847354016643 62.546599670167381646 93.861793812911244572   56.010514194396435528 66.428745737947650696 91.027828558797025948   58.779697418212890625 32.730899810791015625 60.83139801025390625   56.010514194396435528 66.428745737947664907 91.027828558797040159   0.14487475162433849363 0.072754086581159657654 0.9867715790533934106   0.22371511302672686394 0.78738892935152815511 -0.57443034576708540406   
58.779697418212890625 32.730899810791015625 60.83139801025390625   58.968613983935576073 31.945303215163388444 65.686979346121646017   57.706752025172583842 30.685810802700224542 70.249960266523927999   55.066149239453864084 28.979612444551449357 74.031033785805917091   51.83924751918529239 27.069916814789767301 77.231120414713316791   48.601107286440608846 25.192410398673160898 80.437828888509116609   45.86278649055921619 23.940333241551186916 84.316700462954869977   44.226140630733880243 24.139067309329384159 88.915445707170661649   44.111681609403326831 26.045993883271101765 93.41554466783283317   45.372303144461056945 29.180365357931520975 96.962368913804553472   47.592885856018050106 32.992398283553448834 99.108001198420041078   50.318725784017232172 37.022224112910720351 99.798674347523146366   53.16703666444579568 40.983275858705226824 99.173983263922977471   55.838386913100684694 44.745476644967723701 97.461469572902913683   58.108962494720280745 48.22047657005660426 94.816381401509246984   59.935871396223546981 51.377418464535210774 91.502411335187233021   61.607862670827195473 54.417655169125090708 87.998358483630809701   58.779697418212890625 32.730899810791015625 60.83139801025390625   61.607862670827209683 54.417655169125097814 87.998358483630809701   0.11824899837849643658 -0.13138839276113623011 0.984253150683363498   0.340090680904024667 0.61731623845314509413 -0.70940749256284052482   
58.779697418212890625 32.730899810791015625 60.83139801025390625   58.996661463141521153 31.366110363429076102 65.553695334607596124   57.808398881220682597 29.225557001433546844 69.790876671109472795   55.258730688651922947 26.488246042352930232 72.976326107044812375   52.132471686537904532 23.577845692878639738 75.437271010771894453   48.985956178275884554 20.673894005995421708 77.881019712731955451   46.152969127909948099 18.027771042665403201 80.911913033057274447   44.069956300702564533 16.240362548584979407 84.969826724908003257   43.289702440565498875 15.857563509377960997 89.783264556858839001   44.010072413121406498 16.869416669263681996 94.523730142631052331   45.894453855050528546 18.909046807548204328 98.572579543071370267   48.542407832900785536 21.707487852253283478 101.62714703056715848   51.573127133233832353 25.046972630796549453 103.58196932474417906   54.668090298216462486 28.821511015864167859 104.12241699179573118   57.407309196961314512 32.79521600800352843 103.20548231797194205   59.530313281678822079 36.693436486323690815 101.08540520739144597   61.13941382149155146 40.402057339142942283 98.266477477051026312   58.779697418212890625 32.730899810791015625 60.83139801025390625   61.13941382149155146 40.402057339142949388 98.266477477051026312   0.12496242510588409513 -0.22596441692101676413 0.9660871982368887112   0.29526813020410902499 0.73737394614553664063 -0.60753304011512732075   
58.779697418212890625 32.730899810791015625 60.83139801025390625   58.926165637533678421 31.574621054179658586 65.607647105047973923   57.508116407323363717 29.514853786526625612 69.806145092056922863   54.648605441591698195 26.879753382380958016 72.804948412054528717   51.198348492893607897 24.146204226771772028 75.024213660641450474   47.724391378896463323 21.415397947787251809 77.211192502601534216   44.57876524804628815 18.773248345824921302 79.926102169136242992   42.095177164107013823 16.42675518678527169 83.463978126474458463   40.518748389015748046 14.595245200969934274 87.744234760973924381   40.171612381417865834 13.528362470732066214 92.521830049259463635   41.172533387578987174 13.366033407637223362 97.325658305330094322   43.361531959377757062 14.073349937940559329 101.66580867669313193   46.460123054828947886 15.537587230587622145 105.18843021725035669   50.17825156982168977 17.639842170234327767 107.61552006473280585   54.199333886812269157 20.297069830603728491 108.50428857267561966   57.948462976221151166 23.245576641362056591 107.41206930249833817   60.98818875274226059 26.077935989132864592 104.77908403384165581   58.779697418212890625 32.730899810791015625 60.83139801025390625   60.98818875274226059 26.077935989132864592 104.77908403384168423   0.12263519083498837514 -0.17300578863774310201 0.97725616246033397694   0.55637499179222626999 0.55350072757335377904 -0.61974495809483476361   
